match_id,minute,title,comment,out_player,in_player
nshvsmia-10-18-2025,,END OF SECOND HALF,End of match.,,
nshvsmia-10-18-2025,,FULL TIME,"Second half ends, Nashville SC 2, Inter Miami CF 5.",,
nshvsmia-10-18-2025,90'+1,GOAL,"Goal! 2:5. Telasco Segovia (Inter Miami CF) scored with right footed shot from the center of the box with an xG of 94% to the lower left zone. Assisted by Lionel Messi, second assist by Ian Fray.",,
nshvsmia-10-18-2025,,,,H. Mukhtar,T. Bunbury
nshvsmia-10-18-2025,,,,E. Tagseth,B. Acosta
nshvsmia-10-18-2025,87',Attempt Saved,Attempt blocked. Gastón Brugman's (Nashville SC) with right footed shot from the left half-space outside the box with an xG of 2% is blocked by Tomás Avilés.,,
nshvsmia-10-18-2025,84',Attempt Saved,Attempt saved. Luis Suárez's (Inter Miami CF) with right footed shot from the left side of the box with an xG of 15% is saved by Joe Willis.,,
nshvsmia-10-18-2025,,,,T. Allende,T. Avilés
nshvsmia-10-18-2025,81',GOAL,Goal! 2:4. Lionel Messi (Inter Miami CF) scored with left footed shot from the center of the box with an xG of 7% to the lower left zone. Assisted by Ian Fray.,,
nshvsmia-10-18-2025,80',Attempt Missed,Attempt missed. Rodrigo De Paul's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 2% misses to the left.,,
nshvsmia-10-18-2025,76',Attempt Missed,Attempt missed. Tadeo Allende's (Inter Miami CF) with right footed shot from the right side of the box with an xG of 5% misses to the right.,,
nshvsmia-10-18-2025,,,,P. Yazbek,G. Brugman
nshvsmia-10-18-2025,,,,A. Muyl,J. Bauer
nshvsmia-10-18-2025,,,,B. Rodríguez,Y. Bright
nshvsmia-10-18-2025,72',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with header from the center of the box with an xG of 11% is saved by Rocco Ríos Novo.,,
nshvsmia-10-18-2025,69',Attempt Saved,Attempt saved. Lionel Messi's (Inter Miami CF) with left footed shot from the center of the box with an xG of 32% is saved by Joe Willis.,,
nshvsmia-10-18-2025,68',Yellow Card,Rodrigo De Paul (Inter Miami CF) is shown the yellow card for poor sportsmanship.,,
nshvsmia-10-18-2025,67',GOAL,Goal! 2:3. Baltasar Rodríguez (Inter Miami CF) scored with right footed shot from the center of the box with an xG of 85% to the central bottom zone.,,
nshvsmia-10-18-2025,67',Attempt Saved,Attempt saved. Luis Suárez's (Inter Miami CF) with right footed shot from the center of the box with an xG of 31% is saved by Joe Willis.,,
nshvsmia-10-18-2025,64',Yellow Card,Hany Mukhtar (Nashville SC) is shown the yellow card for poor sportsmanship.,,
nshvsmia-10-18-2025,,,,G. Luján,T. Segovia
nshvsmia-10-18-2025,,,,M. Weigandt,I. Fray
nshvsmia-10-18-2025,63',PENALTY GOAL,Goal! 2:2. Lionel Messi (Inter Miami CF) scored from penalty with left footed shot with an xG of 77% to the lower left zone.,,
nshvsmia-10-18-2025,,,,J. Shaffelburg,T. Boyd
nshvsmia-10-18-2025,55',Attempt Saved,Attempt saved. Baltasar Rodríguez's (Inter Miami CF) with header from the center of the box with an xG of 15% is saved by Joe Willis.,,
nshvsmia-10-18-2025,52',Attempt Missed,Attempt missed. Luis Suárez's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 7% goes over.,,
nshvsmia-10-18-2025,52',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 8% is blocked by Walker Zimmerman.,,
nshvsmia-10-18-2025,51',Attempt Saved,Attempt blocked. Alex Muyl's (Nashville SC) with right footed shot from the center of the box with an xG of 7% is blocked by Gonzalo Luján.,,
nshvsmia-10-18-2025,50',Attempt Missed,Tadeo Allende (Inter Miami CF) with left footed shot from the center of the box with an xG of 85%.,,
nshvsmia-10-18-2025,49',Attempt Missed,Attempt missed. Rodrigo De Paul's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 6% goes over.,,
nshvsmia-10-18-2025,,KICK OFF,"Second Half begins: Nashville SC 2, Inter Miami CF 1.",,
nshvsmia-10-18-2025,,HALF TIME,"First half ends, Nashville SC 2, Inter Miami CF 1.",,
nshvsmia-10-18-2025,45'+6,GOAL,Goal! 2:1. Jacob Shaffelburg (Nashville SC) scored with left footed shot from the center of the box with an xG of 95% to the lower right zone.,,
nshvsmia-10-18-2025,45'+6,Post,Hany Mukhtar (Nashville SC) hits the right post from the left side of the box with an xG of 8%.,,
nshvsmia-10-18-2025,45'+2,Post,Lionel Messi (Inter Miami CF) hits the right post from the center of the box with an xG of 11%.,,
nshvsmia-10-18-2025,43',GOAL,Goal! 1:1. Sam Surridge (Nashville SC) scored with header from the center of the box with an xG of 47% to the middle left zone. Assisted by Hany Mukhtar.,,
nshvsmia-10-18-2025,42',Attempt Missed,Attempt missed. Baltasar Rodríguez's (Inter Miami CF) with right footed shot from the left side of the box with an xG of 34% misses to the right.,,
nshvsmia-10-18-2025,39',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 4% is blocked by Patrick Yazbek.,,
nshvsmia-10-18-2025,38',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with right footed shot from the left side of the box with an xG of 5% is saved by Rocco Ríos Novo.,,
nshvsmia-10-18-2025,35',GOAL,Goal! 0:1. Lionel Messi (Inter Miami CF) scored with left footed shot from the central position outside the box with an xG of 10% to the bottom left corner. Assisted by Jordi Alba.,,
nshvsmia-10-18-2025,33',Attempt Missed,Attempt missed. Hany Mukhtar's (Nashville SC) with right footed shot from the center of the box with an xG of 32% goes over.,,
nshvsmia-10-18-2025,31',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 8% is saved by Rocco Ríos Novo.,,
nshvsmia-10-18-2025,28',Attempt Missed,Attempt missed. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 25% goes over to the right.,,
nshvsmia-10-18-2025,22',Yellow Card,Tadeo Allende (Inter Miami CF) is shown the yellow card for the foul.,,
nshvsmia-10-18-2025,20',Attempt Saved,Attempt blocked. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 41% is blocked by Maximiliano Falcón.,,
nshvsmia-10-18-2025,17',Attempt Saved,Attempt saved. Alex Muyl's (Nashville SC) with header from the center of the box with an xG of 18% is saved by Rocco Ríos Novo.,,
nshvsmia-10-18-2025,13',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with header from the center of the box with an xG of 11% is saved by Rocco Ríos Novo.,,
nshvsmia-10-18-2025,7',Attempt Missed,Attempt missed. Walker Zimmerman's (Nashville SC) with header from the center of the box with an xG of 24% goes over.,,
nshvsmia-10-18-2025,,KICK OFF,First half begins.,,
colvslafc-10-18-2025,,FULL TIME,"Second half ends, Colorado Rapids 2, Los Angeles Football Club 2.",,
colvslafc-10-18-2025,,END OF SECOND HALF,End of match.,,
colvslafc-10-18-2025,90'+7,Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with right footed shot from the center of the box with an xG of 24% is blocked by Artem Smolyakov.,,
colvslafc-10-18-2025,90'+7,Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with left footed shot from the center of the box with an xG of 16% is blocked by Jeremy Ebobisse.,,
colvslafc-10-18-2025,90'+4,Attempt Saved,Attempt blocked. Alexis Manyoma's (Colorado Rapids) with right footed shot from the right half-space outside the box with an xG of 2% is blocked by Artem Smolyakov.,,
colvslafc-10-18-2025,90'+3,Attempt Saved,Attempt blocked. Nathan Ordaz's (Los Angeles Football Club) with left footed shot from the right half-space outside the box with an xG of 2% is blocked by Paxten Aaronson.,,
colvslafc-10-18-2025,90',GOAL,Goal! 2:2. Andrew Moran (Los Angeles Football Club) scored with right footed shot from the center of the box with an xG of 14% to the lower right zone.,,
colvslafc-10-18-2025,90',Attempt Saved,Attempt saved. Jeremy Ebobisse's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 5% is saved by Zack Steffen.,,
colvslafc-10-18-2025,,,,D. Bouanga,N. Ordaz
colvslafc-10-18-2025,87',GOAL,"Goal! 2:1. Darren Yapi (Colorado Rapids) scored with header from the center of the box with an xG of 12% to the lower left central zone. Assisted by Oliver Larraz, second assist by Keegan Rosenberry.",,
colvslafc-10-18-2025,,,,R. Hollingshead,A. Smolyakov
colvslafc-10-18-2025,85',Attempt Missed,Attempt missed. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 1% goes over.,,
colvslafc-10-18-2025,,,,S. Vines,R. Santos
colvslafc-10-18-2025,,,,R. Cannon,K. Rosenberry
colvslafc-10-18-2025,,,,T. Tillman,A. Moran
colvslafc-10-18-2025,,,,M. Choinière,Jailson
colvslafc-10-18-2025,,,,Son H.M.,J. Ebobisse
colvslafc-10-18-2025,75',Attempt Missed,Attempt missed. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the central position outside the box with an xG of 4% misses to the right.,,
colvslafc-10-18-2025,,,,C. Ronan,A. Manyoma
colvslafc-10-18-2025,72',Attempt Missed,Attempt missed. Rafael Navarro's (Colorado Rapids) with right footed shot from the left side of the box with an xG of 10% misses to the left.,,
colvslafc-10-18-2025,68',Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with left footed shot from the central position outside the box with an xG of 3% is blocked by Ryan Porteous.,,
colvslafc-10-18-2025,65',Attempt Missed,Attempt missed. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 9% goes over.,,
colvslafc-10-18-2025,64',Yellow Card,Nkosi Tafari (Los Angeles Football Club) is shown the yellow card for the foul.,,
colvslafc-10-18-2025,,,,T. Ku-Dipietro,O. Larraz
colvslafc-10-18-2025,62',GOAL,Goal! 1:1. Paxten Aaronson (Colorado Rapids) scored with right footed shot from the center of the box with an xG of 10% to the top right corner.,,
colvslafc-10-18-2025,58',Attempt Saved,Attempt saved. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 4% is saved by Hugo Lloris.,,
colvslafc-10-18-2025,56',Attempt Saved,Attempt blocked. Paxten Aaronson's (Colorado Rapids) with right footed shot from the right half-space outside the box with an xG of 2% is blocked by Ryan Hollingshead.,,
colvslafc-10-18-2025,54',Yellow Card,Ted Ku-Dipietro (Colorado Rapids) is shown the yellow card for the foul.,,
colvslafc-10-18-2025,52',Attempt Missed,Attempt missed. Cole Bassett's (Colorado Rapids) with left footed shot from the center of the box with an xG of 24% misses to the left.,,
colvslafc-10-18-2025,,KICK OFF,"Second Half begins: Colorado Rapids 0, Los Angeles Football Club 1.",,
colvslafc-10-18-2025,,HALF TIME,"First half ends, Colorado Rapids 0, Los Angeles Football Club 1.",,
colvslafc-10-18-2025,45'+4,Post,Ryan Porteous (Los Angeles Football Club) hits the left post from the center of the box with an xG of 7%.,,
colvslafc-10-18-2025,45'+3,Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 11% is saved by Zack Steffen.,,
colvslafc-10-18-2025,45'+2,Yellow Card,Paxten Aaronson (Colorado Rapids) is shown the yellow card for the foul.,,
colvslafc-10-18-2025,42',GOAL,Goal! 0:1. Son Heung-Min (Los Angeles Football Club) scored with left footed shot from the left side of the box with an xG of 10% to the upper left central zone. Assisted by Denis Bouanga.,,
colvslafc-10-18-2025,40',Attempt Missed,Attempt missed. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the center of the box with an xG of 13% goes over.,,
colvslafc-10-18-2025,36',Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the right half-space outside the box with an xG of 2% is saved by Zack Steffen.,,
colvslafc-10-18-2025,35',Attempt Saved,Attempt blocked. Nkosi Tafari's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 41% is blocked by Rob Holding.,,
colvslafc-10-18-2025,34',Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 46% is saved by Zack Steffen.,,
colvslafc-10-18-2025,31',Attempt Missed,Attempt missed. Mathieu Choinière's (Los Angeles Football Club) with right footed shot from the central position outside the box with an xG of 2% goes over.,,
colvslafc-10-18-2025,26',Yellow Card,Eddie Segura (Los Angeles Football Club) is shown the yellow card for the foul.,,
colvslafc-10-18-2025,26',Attempt Saved,Attempt saved. Marco Delgado's (Los Angeles Football Club) with right footed shot from the central position outside the box with an xG of 4% is saved by Zack Steffen.,,
