minute,title,comment,out_player,in_player,match_id_hash
3',Attempt Missed,Attempt missed. Ezequiel Ponce's (Houston Dynamo FC) with right footed shot from the central position outside the box with an xG of 2% misses to the left.,,,30dae517
7',Attempt Saved,Attempt saved. Dániel Sallói's (Sporting Kansas City) with right footed shot from the left side of the box with an xG of 7% is saved by Jonathan Bond.,,,30dae517
12',Foul,Antônio Carlos (Houston Dynamo FC) is shown the yellow card for the foul.,,,30dae517
17',Attempt Missed,Attempt missed. Dániel Sallói's (Sporting Kansas City) with right footed shot from the center of the box with an xG of 10% goes over.,,,30dae517
20',Foul,Duane Holmes (Houston Dynamo FC) is shown the yellow card for the foul.,,,30dae517
22',Attempt Saved,Attempt saved. Ondřej Lingr's (Houston Dynamo FC) with left footed shot from the left side of the box with an xG of 8% is saved by John Pulskamp.,,,30dae517
25',Attempt Saved,Attempt blocked. Dejan Joveljić's (Sporting Kansas City) with right footed shot from the left side of the box with an xG of 4% is blocked by Duane Holmes.,,,30dae517
34',Attempt Saved,Attempt blocked. Alán Montes's (Sporting Kansas City) with header from the center of the box with an xG of 9% is blocked by Ezequiel Ponce.,,,30dae517
35',Attempt Saved,Attempt saved. Ezequiel Ponce's (Houston Dynamo FC) with left footed shot from the left side of the box with an xG of 5% is saved by John Pulskamp.,,,30dae517
40',Attempt Saved,Attempt saved. Lawrence Ennali's (Houston Dynamo FC) with left footed shot from the left side of the box with an xG of 15% is saved by John Pulskamp.,,,30dae517
44',Yellow Card,Zorhan Bassong (Sporting Kansas City) is shown the yellow card for poor sportsmanship.,,,30dae517
45',Attempt Saved,Attempt blocked. Manu García's (Sporting Kansas City) with left footed shot from the central position outside the box with an xG of 5% is blocked by Duane Holmes.,,,30dae517
45'+3,Attempt Saved,Attempt saved. Lawrence Ennali's (Houston Dynamo FC) with left footed shot from the central position outside the box with an xG of 4% is saved by John Pulskamp.,,,30dae517
59',Foul,John Pulskamp (Sporting Kansas City) is shown the yellow card for the foul.,,,30dae517
69',Attempt Missed,Attempt missed. Ezequiel Ponce's (Houston Dynamo FC) with header from the center of the box with an xG of 19% misses to the right.,,,30dae517
72',Attempt Saved,Attempt saved. Lawrence Ennali's (Houston Dynamo FC) with right footed shot from the central position outside the box with an xG of 3% is saved by John Pulskamp.,,,30dae517
74',Attempt Saved,Attempt saved. Felipe Andrade's (Houston Dynamo FC) with left footed shot from the center of the box with an xG of 7% is saved by John Pulskamp.,,,30dae517
78',Attempt Missed,Attempt missed. Alán Montes's (Sporting Kansas City) with left footed shot from the left half-space outside the box with an xG of 2% misses to the left.,,,30dae517
87',Foul,Lawrence Ennali (Houston Dynamo FC) is shown the yellow card for the foul.,,,30dae517
89',Foul,Júnior Urso (Houston Dynamo FC) is shown the yellow card for the foul.,,,30dae517
90'+2,Attempt Saved,Attempt saved. Alán Montes's (Sporting Kansas City) from the center of the box with an xG of 10% is saved by Jonathan Bond.,,,30dae517
90'+6,Attempt Missed,Attempt missed. Ezequiel Ponce's (Houston Dynamo FC) with header from the center of the box with an xG of 16% misses to the left.,,,30dae517
90'+7,Attempt Missed,Attempt missed. Dejan Joveljić's (Sporting Kansas City) with header from the center of the box with an xG of 33% goes over.,,,30dae517
90'+8,Yellow Card,Jake Davis (Sporting Kansas City) is shown the yellow card for poor sportsmanship.,,,30dae517
7',Attempt Missed,Attempt missed. Walker Zimmerman's (Nashville SC) with header from the center of the box with an xG of 23% goes over.,,,8dd08bf6
13',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with header from the center of the box with an xG of 13% is saved by Rocco Ríos Novo.,,,8dd08bf6
17',Attempt Saved,Attempt saved. Alex Muyl's (Nashville SC) with header from the center of the box with an xG of 20% is saved by Rocco Ríos Novo.,,,8dd08bf6
20',Attempt Saved,Attempt blocked. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 44% is blocked by Maximiliano Falcón.,,,8dd08bf6
22',Foul,Tadeo Allende (Inter Miami CF) is shown the yellow card for the foul.,,,8dd08bf6
28',Attempt Missed,Attempt missed. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 24% goes over to the right.,,,8dd08bf6
31',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with right footed shot from the center of the box with an xG of 10% is saved by Rocco Ríos Novo.,,,8dd08bf6
33',Attempt Missed,Attempt missed. Hany Mukhtar's (Nashville SC) with right footed shot from the center of the box with an xG of 31% goes over.,,,8dd08bf6
35',Corner,Goal! 0:1. Lionel Messi (Inter Miami CF) scored with left footed shot from the central position outside the box with an xG of 10% to the bottom left corner. Assisted by Jordi Alba.,,,8dd08bf6
38',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with right footed shot from the left side of the box with an xG of 4% is saved by Rocco Ríos Novo.,,,8dd08bf6
