event_id,match_id,minute,title,comment,out_player,in_player
1,8582be8b,7',Attempt Saved,Attempt blocked. Kei Kamara's (FC Cincinnati) with right footed shot from the right side of the box with an xG of 6% is blocked by Jalen Neal.,,
2,8582be8b,8',Attempt Saved,Attempt blocked. Prince Owusu's (CF Montréal) with left footed shot from the center of the box with an xG of 11% is blocked by Teenage Hadebe.,,
3,8582be8b,29',Foul,Victor Loturi (CF Montréal) is shown the yellow card for the foul.,,
4,8582be8b,31',Attempt Missed,Attempt missed. Miles Robinson's (FC Cincinnati) with header from the center of the box with an xG of 5% misses to the left.,,
5,8582be8b,33',Attempt Saved,Attempt saved. Brenner Souza's (FC Cincinnati) with right footed shot from the central position outside the box with an xG of 3% is saved by Thomas Gillier.,,
6,8582be8b,33',Corner,Goal! 1:0. Nick Hagglund (FC Cincinnati) scored with header from the center of the box with an xG of 7% to the top left corner. Assisted by Evander Da Silva Ferreira.,,
7,8582be8b,35',Attempt Missed,Attempt missed. Brenner Souza's (FC Cincinnati) with header from the center of the box with an xG of 15% misses to the left.,,
8,8582be8b,37',Attempt Missed,Attempt missed. Kei Kamara's (FC Cincinnati) with right footed shot from the center of the box with an xG of 28% goes over.,,
9,8582be8b,42',Foul,Dante Sealy (CF Montréal) is shown the yellow card for the foul.,,
10,8582be8b,45'+2,Attempt Saved,Attempt saved. Brandan Craig's (CF Montréal) with right footed shot from the left half-space outside the box with an xG of 2% is saved by Roman Celentano.,,
11,8582be8b,45'+5,Foul,Nick Hagglund (FC Cincinnati) is shown the yellow card for the foul.,,
12,8582be8b,45'+6,PENALTY MISSED,Penalty missed. Prince Owusu (CF Montréal) hits the right post from the center of the box with an xG of 77%.,,
13,8582be8b,45'+7,Attempt Saved,Attempt saved. Victor Loturi's (CF Montréal) with header from the center of the box with an xG of 8% is saved by Roman Celentano.,,
14,8582be8b,,,,J. Neal,F. Álvarez
15,8582be8b,,,,D. Marczuk,Y. Kubo
16,8582be8b,,,,O. Nwobodo,S. Gidi
17,8582be8b,,,,T. Hadebe,G. Flores
18,8582be8b,48',Attempt Saved,Attempt saved. Yuya Kubo's (FC Cincinnati) with left footed shot from the left side of the box with an xG of 11% is saved by Thomas Gillier.,,
19,8582be8b,56',Corner,Goal! 2:0. Evander Da Silva Ferreira (FC Cincinnati) scored with left footed shot from the central position outside the box with an xG of 6% to the bottom right corner. Assisted by Nick Hagglund.,,
20,8582be8b,,,,D. Sealy,O. Escobar
21,8582be8b,,,,F. Herbers,I. Jaime
22,8582be8b,61',Foul,Samuel Gidi (FC Cincinnati) is shown the yellow card for the foul.,,
23,8582be8b,63',Attempt Missed,Attempt missed. Hennadii Synchuk's (CF Montréal) with left footed shot from the right side of the box with an xG of 2% misses to the left.,,
24,8582be8b,72',Attempt Saved,Attempt blocked. Olger Escobar's (CF Montréal) with left footed shot from the central position outside the box with an xG of 2% is blocked by Gilberto Flores.,,
25,8582be8b,73',Attempt Saved,Attempt saved. Iván Jaime's (CF Montréal) with right footed shot from the central position outside the box with an xG of 5% is saved by Roman Celentano.,,
26,8582be8b,,,,P. Owusu,G. Vrioni
27,8582be8b,,,,N. Hagglund,Tah Brian Anunga
28,8582be8b,,,,I. Jaime,Mahala Opoku
29,8582be8b,,,,H. Synchuk,B. Duke
30,8582be8b,,,,K. Kamara,G. Valenzuela
31,8582be8b,85',Attempt Saved,Attempt saved. Brian Anunga's (FC Cincinnati) with right footed shot from the center of the box with an xG of 26% is saved by Thomas Gillier.,,
32,8582be8b,86',Attempt Missed,Bode Hidalgo (CF Montréal) with left footed shot from the central position outside the box with an xG of 4%.,,
33,8582be8b,86',Attempt Saved,Attempt blocked. Evander Da Silva Ferreira's (FC Cincinnati) with left footed shot from the center of the box with an xG of 7% is blocked by Bode Hidalgo.,,
34,8582be8b,88',Corner,Goal! 3:0. Brenner Souza (FC Cincinnati) scored with left footed shot from the center of the box with an xG of 18% to the bottom left corner. Assisted by Gerardo Valenzuela.,,
35,8582be8b,90'+4,Attempt Saved,Attempt saved. Brenner Souza's (FC Cincinnati) with left footed shot from the center of the box with an xG of 29% is saved by Thomas Gillier.,,
36,8582be8b,90'+5,Attempt Missed,Fernando Álvarez (CF Montréal) with header from the center of the box with an xG of 6%.,,
37,8582be8b,90'+6,Attempt Missed,Attempt missed. Kwadwo Opoku's (CF Montréal) with left footed shot from the center of the box with an xG of 7% goes over.,,
