Player,Mins,G,xG,Conv%,SOT,Pass%,A,P,Cross,CK,KP,AD,AD%,FC,FS,OFF,YC,RC,match_id,side,club,GS,GA,XGA,Pass,THRW,LB,LNCH,GK,CC
B. Acosta,2,0,0,0,0,90.9,0,10,0,0,0,0,0,1,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
A. Nájar,90,0,0,0,0,78.6,0,33,0,0,1,0,0,1,2,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
G. Brugman,17,0,0.02,1,0,85.7,0,24,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
D. Lovitz,90,0,0,0,0,81.6,0,31,0,0,3,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Maher,90,0,0,0,0,91.3,0,42,0,0,0,0,0,0,1,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Bauer,17,0,0,0,0,87.5,0,7,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
W. Zimmerman,90,0,0.23,1,0,96.2,0,50,0,0,0,0,0,2,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
H. Mukhtar,88,0,0.4,2,0,100,1,27,1,3,2,0,0,1,1,1,1,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
A. Muyl,73,0,0.27,2,1,75,0,15,0,0,0,0,0,0,1,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Shaffelburg,56,1,0.95,1,1,60,0,6,1,0,1,0,0,0,0,1,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Bunbury,2,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Boyd,34,0,0,0,0,75,0,6,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
S. Surridge,90,1,1.38,7,5,69.2,0,9,0,0,1,0,0,1,1,1,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
P. Yazbek,73,0,0,0,0,87.9,0,29,0,0,1,0,0,2,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Palacios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
B. Schwake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
E. Tagseth,88,0,0,0,0,95.4,0,62,2,3,2,0,0,2,1,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
W. Yarbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
F. Picault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
I. Fray,26,0,0,0,0,83.3,2,10,0,0,1,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
N. Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
R. Sailor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
S. Busquets,90,0,0,0,0,95,0,94,0,0,1,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
Ó. Ustari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
L. Messi,90,3,1.5,7,4,86,1,43,0,2,6,0,0,0,0,1,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Alba,90,0,0,0,0,84.8,1,67,0,0,3,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Avilés,8,0,0,0,0,100,0,6,0,0,0,0,0,0,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
L. Suárez,90,0,0.51,3,2,88.5,0,23,0,0,2,0,0,0,3,1,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
Y. Bright,17,0,0,0,0,100,0,13,0,0,0,0,0,1,2,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
M. Weigandt,64,0,0,0,0,90.6,0,29,0,0,0,0,0,0,2,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
R. De Paul,90,0,0.09,2,0,92.6,0,88,0,0,0,0,0,1,2,0,1,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Segovia,26,1,0.94,1,1,94.4,0,17,0,0,0,0,0,1,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
T. Allende,82,0,0.9,2,0,93.8,0,15,0,0,0,0,0,1,0,2,1,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
G. Luján,64,0,0,0,0,94.7,0,36,0,0,0,0,0,1,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
M. Falcón,90,0,0,0,0,96,0,73,0,0,0,0,0,1,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
B. Rodríguez,73,1,1.34,3,2,94.2,0,49,0,1,0,0,0,1,0,0,0,0,nshvsmia-10-18-2025,home,NSH,,,,,,,,,
J. Willis,90,0,,0,,81.5,0,0,,,,,,0,0,,0,0,nshvsmia-10-18-2025,home,NSH,4,5,0,22,0,5,0,0,0
R. Ríos Novo,90,0,,0,,92.9,0,0,,,,,,0,0,,0,0,nshvsmia-10-18-2025,home,NSH,5,2,0,26,0,3,0,0,0
N. Cobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
K. Rosenberry,8,0,0,0,0,60,1,6,0,0,0,0,0,0,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
O. Larraz,27,0,0,0,0,90.5,1,19,1,0,3,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
D. Yapi,90,1,0.12,1,1,77.8,0,21,0,0,0,0,0,0,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
T. Ku-Dipietro,63,0,0,0,0,82.9,0,34,0,0,0,0,0,0,1,0,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
I. Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
P. Aaronson,90,1,0.11,2,1,89.7,0,26,0,0,0,0,0,1,3,0,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
J. Atencio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
S. Vines,82,0,0,0,0,84.4,0,54,1,0,1,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
C. Bassett,90,0,0.24,1,0,93.1,0,54,1,1,1,0,0,0,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
