id,date,name,age,height_cm,weight_kg,team,contract_start,contract_end,position,foot,jersey_num,wage_eur,value_eur,,overall_rating,best_overall,best_position,total_attacking,crossing,finishing,heading_accuracy,short_passing,volleys,total_skill,dribbling,curve,fk_accuracy,long_passing,ball_control,total_movement,acceleration,sprint_speed,agility,reactions,balance,total_power,shot_power,jumping,stamina,long_shots,total_mentality,aggression,interceptions,attack_position,vision,penalties,composure,total_defending,defensive_awareness,standing_tackle,sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
167435,2025-10-23,O. Ustari,38,184,82,CF Montréal,2024.0,2025.0,GK,Right,19.0,2000,150000,,69,69,GK,79,15,14,14,23,13,90,13,14,15,22,26,287,64,61,58,60,44,244,51,71,39,14,158,38,28,15,59,18,51,54,29,12,13,345,68,71,68,72,66
262339,2025-10-23,G. Luján,24,182,82,CF Montréal,2025.0,2027.0,RB,Right,2.0,4000,26000000,,69,71,CB,239,66,25,65,64,19,242,57,43,21,60,61,312,66,59,58,68,61,316,65,77,74,22,280,73,68,52,42,45,61,209,70,71,68,43,10,9,5,9,10
259298,2025-10-23,M. Falcón,28,179,80,CF Montréal,2025.0,2028.0,RCB,Right,37.0,6000,14000000,,70,70,CB,197,25,33,71,46,22,153,31,22,17,41,42,302,73,77,44,72,36,366,66,87,90,41,281,93,74,54,26,34,50,194,62,68,64,52,7,11,15,11,8
267872,2025-10-23,N. Allen,21,175,66,CF Montréal,2022.0,2028.0,LCB,Left,32.0,2000,15000000,,65,67,CB,253,64,29,65,63,32,305,63,59,59,58,66,354,79,78,69,57,71,313,54,77,63,54,248,61,64,43,47,33,45,193,64,66,63,52,11,13,9,8,11
189332,2025-10-23,Jordi Alba,36,170,68,CF Montréal,2023.0,2025.0,LB,Left,18.0,8000,31000000,,78,79,LM,376,79,73,69,80,75,383,79,82,63,79,80,408,84,81,83,76,84,348,64,76,84,66,359,73,75,77,75,59,78,207,67,71,69,60,13,15,13,6,13
189511,2025-10-23,Sergio Busquets,36,189,74,CF Montréal,2023.0,2025.0,RDM,Right,5.0,9000,41000000,,80,80,CDM,325,59,65,68,83,50,374,80,66,68,81,79,259,34,35,64,76,50,326,61,64,75,54,366,76,78,73,79,60,83,233,78,80,75,48,5,8,13,9,13
71003,2025-10-23,Y. Bright,23,183,78,CF Montréal,2023.0,2025.0,LDM,Right,42.0,4000,16000000,,68,69,CDM,238,52,35,50,70,31,254,59,35,29,65,66,322,71,70,63,63,55,254,34,63,63,36,282,62,67,49,66,38,54,206,71,70,65,56,10,12,10,14,10
212616,2025-10-23,R. De Paul,31,180,70,CF Montréal,,,,Right,,100000,345000000,,84,84,CM,367,78,75,58,85,71,413,84,84,76,84,85,386,74,76,77,81,78,408,82,76,88,83,396,86,80,79,85,66,81,231,76,80,75,56,13,12,10,7,14
260056,2025-10-23,T. Segovia,22,180,73,CF Montréal,2025.0,2029.0,LM,Right,8.0,4000,31000000,,69,72,CAM,285,60,68,40,70,47,302,68,55,42,66,71,355,71,71,70,75,68,329,68,59,71,66,326,65,68,68,70,55,65,173,55,60,58,51,12,8,15,9,7
158023,2025-10-23,L. Messi,38,169,67,CF Montréal,2023.0,2025.0,RS,Left,10.0,17000,22000000,,86,86,RW,398,80,84,60,85,89,450,89,90,93,84,94,410,84,73,84,80,89,379,84,70,70,87,332,44,40,86,87,75,92,79,20,35,24,54,6,11,15,14,8
176580,2025-10-23,L. Suárez,38,182,86,CF Montréal,2024.0,2025.0,LS,Right,9.0,10000,6000000,,79,79,ST,393,71,82,82,73,85,383,75,80,79,70,79,326,52,54,66,83,71,372,83,75,53,80,367,87,35,84,80,81,86,108,35,38,35,153,27,25,31,33,37
230991,2025-10-23,Fafà Picault,34,173,63,CF Montréal,2024.0,2025.0,SUB,Right,14.0,5000,650000,,69,69,LW,323,66,67,63,63,64,302,73,65,43,55,66,397,90,84,78,64,81,301,71,73,62,59,286,57,42,65,63,59,67,95,44,25,26,40,9,9,7,9,6
278856,2025-10-23,A. Obando,19,188,79,CF Montréal,2023.0,2026.0,SUB,Right,29.0,2000,14000000,,64,66,ST,272,27,67,68,57,53,247,64,44,38,41,60,332,66,66,64,68,68,333,56,83,68,54,260,46,20,69,66,59,65,70,25,25,20,57,13,13,6,12,13
266624,2025-10-23,T. Allende,26,183,78,CF Montréal,,,,Right,,19000,28000000,,72,74,ST,338,64,69,70,68,67,317,71,53,55,65,73,345,77,83,65,65,55,402,85,82,81,79,284,58,27,71,68,60,56,101,29,37,35,49,8,5,13,12,11
