stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id
Possession %,41.3,58.7,general,,,,,,nshvsmia-10-18-2025
Shots,14,18,general,,,,,,nshvsmia-10-18-2025
Shots on Goal,7,9,general,,,,,,nshvsmia-10-18-2025
Blocked Shots,3,2,general,,,,,,nshvsmia-10-18-2025
Total Passes,428,640,general,,,,,,nshvsmia-10-18-2025
Passing Accuracy %,87.4,92,general,,,,,,nshvsmia-10-18-2025
Corners,6,3,general,,,,,,nshvsmia-10-18-2025
Total Crosses,6,8,general,,,,,,nshvsmia-10-18-2025
Offsides,3,4,general,,,,,,nshvsmia-10-18-2025
Aerial Duels Won,7,6,general,,,,,,nshvsmia-10-18-2025
Expected Goals,3.3,5.3,general,,,,,,nshvsmia-10-18-2025
Goalkeeper Saves,4,5,general,,,,,,nshvsmia-10-18-2025
Clearances,4,5,general,,,,,,nshvsmia-10-18-2025
Fouls,10,7,general,,,,,,nshvsmia-10-18-2025
Yellow Cards,1,2,general,,,,,,nshvsmia-10-18-2025
Red Cards,0,0,general,,,,,,nshvsmia-10-18-2025
Overall %,87.4,92,general,,,,,,nshvsmia-10-18-2025
Open Play Pass %,86.8,91.9,general,,,,,,nshvsmia-10-18-2025
Set Piece Cross %,60,0,general,,,,,,nshvsmia-10-18-2025
Open Play Cross %,16.7,0,general,,,,,,nshvsmia-10-18-2025
Goals,2,5,general,,,,,,nshvsmia-10-18-2025
On Target,7,9,general,,,,,,nshvsmia-10-18-2025
Off Target,12,13,general,,,,,,nshvsmia-10-18-2025
Blocked,3,2,general,,,,,,nshvsmia-10-18-2025
Goals Conceded,5,2,general,,,,,,nshvsmia-10-18-2025
Shots Against,14,18,general,,,,,,nshvsmia-10-18-2025
Clean Sheets,0,0,general,,,,,,nshvsmia-10-18-2025
XG Conceded,5.3,3.3,general,,,,,,nshvsmia-10-18-2025
Interceptions,0,2,general,,,,,,nshvsmia-10-18-2025
Goals,2,5,shooting,,,,,,nshvsmia-10-18-2025
On Target,7,9,shooting,,,,,,nshvsmia-10-18-2025
Off Target,3,5,shooting,,,,,,nshvsmia-10-18-2025
Blocked,3,2,shooting,,,,,,nshvsmia-10-18-2025
Overall %,87.4,92,passing,,,,,,nshvsmia-10-18-2025
