,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,B. GuzanGK,39,69,69,GK(1)2017 ~ 2025,€150K,€2K,1171,,"Jul 17, 2025",Atlanta United
,B. LennonRBRM,26,70,71,RB(11)2019 ~ 2025,€1.7M,€6K,1911,,"Jul 17, 2025",Atlanta United
,D. WilliamsCB,31,67,67,RCB(3)2024 ~ 2025,€700K,€6K,1694,,"Jul 17, 2025",Atlanta United
,L. AbramCBLB,28,70,70,LCB(44)2023 ~ 2026,€1.4M,€7K,1711,,"Jul 17, 2025",Atlanta United
,Pedro AmadorLBLM,25,69,72,LB(18)2024 ~ 2026,€1.7M,€6K,1809,,"Jul 17, 2025",Atlanta United
,B. SliszCMCDM,25,71,74,RDM(99)2024 ~ 2028,€2.5M,€7K,1883,,"Jul 17, 2025",Atlanta United
,M. KlichCMCDMCAM,34,73,73,LDM(43)2024 ~ 2025,€1.4M,€8K,1991,,"Jul 17, 2025",Atlanta United
,S. LobjanidzeRWLW,29,74,74,RM(9)2023 ~ 2026,€4.1M,€9K,1950,,"Jul 17, 2025",Atlanta United
,A. MiranchukCAMCMLW,28,79,79,LM(59)2024 ~ 2028,€17.5M,€12K,1910,,"Jul 17, 2025",Atlanta United
,M. AlmirónRWCAM,30,77,77,CAM(10)2025 ~ 2028,€10M,€11K,2015,,"Jul 17, 2025",Atlanta United
,J. ThiaréST,31,68,68,ST(14)2023 ~ 2025,€1M,€7K,1710,,"Jul 17, 2025",Atlanta United
,E. MosqueraLWLM,23,67,75,SUB(70)2022 ~ 2026,€2.3M,€6K,1581,,"Jul 17, 2025",Atlanta United
,C. TogashiSTRW,30,65,65,SUB(30)2025 ~ 2025,€700K,€7K,1609,,"Jul 17, 2025",Atlanta United
,T. MuyumbaCDMCM,27,68,69,SUB(8)2023 ~ 2027,€1.2M,€6K,1800,,"Jul 17, 2025",Atlanta United
,S. GregersenCB,29,72,72,SUB(5)2024 ~ 2027,€2M,€7K,1686,,"Jul 17, 2025",Atlanta United
,R. HernándezLBCBRB,26,67,68,SUB(2)2022 ~ 2025,€1.1M,€6K,1674,,"Jul 17, 2025",Atlanta United
,N. CobbCBRB,18,61,77,SUB(24)2023 ~ 2026,€775K,€3K,1418,,"Jul 17, 2025",Atlanta United
,J. CohenGK,31,68,68,SUB(22)2023 ~ 2025,€650K,€4K,957,,"Jul 17, 2025",Atlanta United
,A. FortuneCMCDMCAM,21,61,72,SUB(35)2023 ~ 2026,€725K,€4K,1600,,"Jul 17, 2025",Atlanta United
,E. MoralesCB,20,59,74,SUB(21)2024 ~ 2025,€500K,€4K,1262,,"Jul 17, 2025",Atlanta United
,L. BrennanRW,19,58,73,SUB(20)2024 ~ 2027,€475K,€4K,1538,,"Jul 17, 2025",Atlanta United
,W. ReillyCMCDMCAM,21,56,67,SUB(28)2025 ~ 2028,€325K,€4K,1568,,"Jul 17, 2025",Atlanta United
,M. EdwardsRBCBLB,21,53,64,SUB(47)2024 ~ 2025,€200K,€4K,1231,,"Jul 17, 2025",Atlanta United
,A. GordonRWST,17,55,70,RES(27)2025 ~ 2026,€300K,€3K,1420,,"Jul 17, 2025",Atlanta United
,D. Chong-QuiLB,16,52,75,RES(50)2025 ~ 2028,€240K,€2K,1261,,"Jul 17, 2025",Atlanta United
