,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,B. StuverGK,33,69,69,GK(1)2021 ~ 2025,€450K,€4K,1176,,"Jul 17, 2025",Austin FC
,J. GallagherRBLBRM,28,64,64,RB(17)2021 ~ 2026,€525K,€6K,1721,,"Jul 17, 2025",Austin FC
,J. CascanteCB,30,67,67,RCB(18)2021 ~ 2025,€825K,€6K,1495,,"Jul 17, 2025",Austin FC
,B. Hines-IkeCB,29,64,64,LCB(4)2024 ~ 2027,€500K,€6K,1653,,"Jul 17, 2025",Austin FC
,Guilherme BiroLBCB,24,62,67,LB(29)2024 ~ 2026,€550K,€5K,1611,,"Jul 17, 2025",Austin FC
,Dani PereiraCMCDM,23,66,71,RDM(8)2021 ~ 2028,€1.3M,€5K,1783,,"Jul 17, 2025",Austin FC
,Ilie SánchezCDMCM,33,72,72,LDM(6)2025 ~ 2025,€1.2M,€7K,1811,,"Jul 17, 2025",Austin FC
,O. WolffCDMCMRM,19,64,76,RM(33)2021 ~ 2025,€1.3M,€4K,1662,,"Jul 17, 2025",Austin FC
,J. ObrianRMRWLM,29,68,68,LM(7)2023 ~ 2026,€1.2M,€7K,1738,,"Jul 17, 2025",Austin FC
,M. UzuniSTLMRM,29,76,76,RS(10)2025 ~ 2027,€7.5M,€10K,1928,,"Jul 17, 2025",Austin FC
,B. VazquezST,25,73,76,LS(9)2025 ~ 2028,€4.1M,€8K,1745,,"Jul 17, 2025",Austin FC
,O. BukariRWSTRM,25,72,73,SUB(11)2024 ~ 2027,€2.8M,€8K,1795,,"Jul 17, 2025",Austin FC
,B. SabovicCDMCM,26,68,71,SUB(14)2025 ~ 2027,€1.4M,€6K,1838,,"Jul 17, 2025",Austin FC
,N. DubersarskyCMCDM,19,61,75,SUB(20)2025 ~ 2029,€775K,€4K,1622,,"Jul 17, 2025",Austin FC
,M. DeslerRBRM,29,73,73,SUB(3)2024 ~ 2027,€2.7M,€8K,1888,,"Jul 17, 2025",Austin FC
,O. SvatokCB,29,70,70,SUB(5)2024 ~ 2027,€1.3M,€7K,1591,,"Jul 17, 2025",Austin FC
,Ž. KolmaničLB,24,64,68,SUB(23)2021 ~ 2028,€775K,€5K,1700,,"Jul 17, 2025",Austin FC
,S. ClevelandGK,30,64,64,SUB(30)2024 ~ 2025,€400K,€4K,1176,,"Jul 17, 2025",Austin FC
,D. RubioSTCAM,31,70,70,SUB(21)2024 ~ 2028,€1.3M,€8K,1910,,"Jul 17, 2025",Austin FC
,R. TaylorLWLMRM,29,70,70,SUB(16)2025 ~ 2026,€1.6M,€7K,1853,,"Jul 17, 2025",Austin FC
,CJ FodreySTLW,20,52,65,SUB(19)2022 ~ 2029,€190K,€4K,1298,,"Jul 17, 2025",Austin FC
,M. BurtonCAM,18,53,70,SUB(32)2024 ~ 2027,€240K,€3K,1361,,"Jul 17, 2025",Austin FC
,Jimmy FarkarlunCAMCM,22,50,57,SUB(26)2024 ~ 2027,€100K,€4K,1281,,"Jul 17, 2025",Austin FC
