,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,J. SiroisGK,23,67,72,GK(40)2020 ~ 2026,€1.2M,€3K,985,,"Jul 17, 2025",CF Montréal
,D. BugajRBRM,19,57,67,RB(27)2024 ~ 2026,€325K,€3K,1499,,"Jul 17, 2025",CF Montréal
,G. CampbellCB,23,68,75,RCB(24)2022 ~ 2025,€2.2M,€5K,1555,,"Jul 17, 2025",CF Montréal
,J. WatermanCB,28,68,68,LCB(16)2020 ~ 2027,€1M,€6K,1536,,"Jul 17, 2025",CF Montréal
,L. PetrassoLBLMCB,24,62,66,LB(13)2025 ~ 2025,€525K,€5K,1649,,"Jul 17, 2025",CF Montréal
,S. PietteCDMCM,29,69,69,RDM(6)2017 ~ 2025,€1.2M,€6K,1561,,"Jul 17, 2025",CF Montréal
,V. LoturiCDMCM,23,63,72,LDM(22)2025 ~ 2026,€1M,€5K,1726,,"Jul 17, 2025",CF Montréal
,D. SealyLMRM,21,63,75,RM(25)2025 ~ 2026,€1.2M,€4K,1615,,"Jul 17, 2025",CF Montréal
,C. ClarkCAMLM,21,67,77,LM(23)2024 ~ 2025,€2.3M,€5K,1763,,"Jul 17, 2025",CF Montréal
,N. SalibaCMCAM,20,65,77,CAM(19)2020 ~ 2028,€1.7M,€4K,1749,,"Jul 17, 2025",CF Montréal
,P. OwusuST,27,66,66,ST(9)2025 ~ 2026,€925K,€7K,1583,,"Jul 17, 2025",CF Montréal
,G. VrioniST,25,69,70,SUB(17)2025 ~ 2025,€1.7M,€7K,1691,,"Jul 17, 2025",CF Montréal
,K. OpokuSTRW,22,67,70,SUB(7)2023 ~ 2026,€1.4M,€6K,1692,,"Jul 17, 2025",CF Montréal
,S. IbrahimST,21,65,73,SUB(14)2021 ~ 2026,€1.6M,€5K,1586,,"Jul 17, 2025",CF Montréal
,F. HerbersRMCMCDM,30,64,64,SUB(21)2025 ~ 2026,€575K,€6K,1796,,"Jul 17, 2025",CF Montréal
,J. NealCB,20,66,78,SUB(2)2025 ~ 2027,€1.9M,€4K,1489,,"Jul 17, 2025",CF Montréal
,T. PearceLBLM,26,65,65,SUB(3)2024 ~ 2026,€700K,€6K,1741,,"Jul 17, 2025",CF Montréal
,S. BrezaGK,26,64,65,SUB(1)2024 ~ 2025,€525K,€4K,999,,"Jul 17, 2025",CF Montréal
,B. DukeCAMCM,23,66,72,SUB(10)2023 ~ 2025,€1.4M,€5K,1692,,"Jul 17, 2025",CF Montréal
,D. YankovCAMCMLM,23,65,70,SUB(8)2024 ~ 2026,€1.1M,€5K,1694,,"Jul 17, 2025",CF Montréal
,F. ÁlvarezCB,20,64,72,SUB(4)2023 ~ 2025,€1.2M,€4K,1512,,"Jul 17, 2025",CF Montréal
,J. VilsaintST,21,59,68,SUB(28)2023 ~ 2028,€500K,€5K,1416,,"Jul 17, 2025",CF Montréal
,B. CraigCBCDM,20,57,69,SUB(5)2025 ~ 2027,€375K,€4K,1450,,"Jul 17, 2025",CF Montréal
