,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,K. KahlinaGK,31,74,74,GK(1)2022 ~ 2026,€2.2M,€5K,1063,,"Jul 17, 2025",Charlotte FC
,N. ByrneRBLB,32,69,69,RB(14)2022 ~ 2026,€975K,€6K,1817,,"Jul 17, 2025",Charlotte FC
,A. MalandaCB,22,69,80,RCB(29)2022 ~ 2026,€2.9M,€5K,1550,,"Jul 17, 2025",Charlotte FC
,A. PrivettCBCDM,23,66,75,LCB(4)2022 ~ 2028,€1.8M,€5K,1572,,"Jul 17, 2025",Charlotte FC
,T. ReamCBLB,36,72,72,LB(3)2024 ~ 2026,€425K,€6K,1757,,"Jul 17, 2025",Charlotte FC
,A. WestwoodCDMCM,34,73,73,CDM(8)2023 ~ 2026,€1M,€8K,1967,,"Jul 17, 2025",Charlotte FC
,Pep BielCAMSTRM,27,75,75,"RCM(16)Jun 30, 2025On loan",€6M,€28K,1939,,"Jul 17, 2025",Charlotte FC
,B. BronicoCMCAMCDM,29,69,69,LCM(13)2020 ~ 2025,€1.4M,€7K,1878,,"Jul 17, 2025",Charlotte FC
,L. AbadaRWRMLW,22,74,82,RW(11)2024 ~ 2026,€9.5M,€8K,1909,,"Jul 17, 2025",Charlotte FC
,P. AgyemangST,23,67,74,ST(33)2022 ~ 2025,€2.1M,€6K,1485,,"Jul 17, 2025",Charlotte FC
,W. ZahaLWLMST,31,78,78,LW(10)2023 ~ 2026,€11.5M,€12K,1960,,"Jul 17, 2025",Charlotte FC
,T. SmallsRWLWRM,22,60,68,SUB(25)2023 ~ 2025,€550K,€5K,1431,,"Jul 17, 2025",Charlotte FC
,K. VargasLMLWRM,22,68,76,SUB(18)2022 ~ 2027,€2.7M,€6K,1669,,"Jul 17, 2025",Charlotte FC
,D. DianiCDMCM,26,67,70,SUB(28)2024 ~ 2026,€1.2M,€6K,1649,,"Jul 17, 2025",Charlotte FC
,Iuri TavaresLMLWST,23,64,70,SUB(38)2024 ~ 2027,€925K,€5K,1570,,"Jul 17, 2025",Charlotte FC
,N. PetkovicCDM,21,63,76,SUB(23)2024 ~ 2026,€1.1M,€4K,1612,,"Jul 17, 2025",Charlotte FC
,B. TuilomaCBRB,29,65,65,SUB(6)2023 ~ 2025,€600K,€6K,1741,,"Jul 17, 2025",Charlotte FC
,D. BinghamGK,34,65,65,SUB(22)2024 ~ 2025,€120K,€4K,1092,,"Jul 17, 2025",Charlotte FC
,E. WilliamsonCDMCM,27,68,70,SUB(19)2025 ~ 2025,€1.3M,€6K,1847,,"Jul 17, 2025",Charlotte FC
,J. Marshall-RuttyRMRBLM,20,63,75,"SUB(2)Jun 30, 2025On loan",€1.2M,€4K,1608,,"Jul 17, 2025",Charlotte FC
,G. MarksGK,24,61,67,SUB(31)2022 ~ 2029,€425K,€3K,959,,"Jul 17, 2025",Charlotte FC
,N. ScardinaRBLBRM,23,58,67,SUB(35)2022 ~ 2025,€425K,€5K,1537,,"Jul 17, 2025",Charlotte FC
,J. NeeleyCB,19,56,73,SUB(39)2023 ~ 2026,€350K,€3K,1233,,"Jul 17, 2025",Charlotte FC
,J. ForbesLB,22,59,67,RES(40)2023 ~ 2025,€475K,€5K,1462,,"Jul 17, 2025",Charlotte FC
,C. OdunzeGK,21,59,71,RES(26)2024 ~ 2027,€475K,€2K,901,,"Jul 17, 2025",Charlotte FC
,B. CambridgeRWRM,22,59,68,RES(36)2023 ~ 2025,€500K,€5K,1525,,"Jul 17, 2025",Charlotte FC
,I. ToklomatiST,19,57,72,RES(17)2024 ~ 2027,€400K,€4K,1310,,"Jul 17, 2025",Charlotte FC
,B. RomeroRWRM,18,54,75,RES(41)2022 ~ 2026,€350K,€4K,1286,,"Jul 17, 2025",Charlotte FC
,N. BerchimasLWLM,16,57,82,RES(27)2025 ~ 2026,€525K,€3K,1392,,"Jul 17, 2025",Charlotte FC
,N. HollidayGK,18,54,73,RES(51)2025 ~ 2027,€240K,€1K,855,,"Jul 17, 2025",Charlotte FC
,S. DoumbiaLBCBLM,27,67,67,"RES(21)Dec 31, 2025On loan",€975K,€11K,1744,,"Jul 17, 2025",Charlotte FC
,M. ThomasLBCB,19,55,66,RES(24)2025 ~ 2026,€250K,€3K,1335,,"Jul 17, 2025",Charlotte FC
