,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,C. BradyGK,20,68,79,GK(1)2020 ~ 2028,€2.3M,€2K,958,,"Jul 17, 2025",Chicago Fire
,J. DeanRBLB,27,63,63,RB(24)2023 ~ 2029,€475K,€6K,1557,,"Jul 17, 2025",Chicago Fire
,S. RogersCB,25,66,71,RCB(5)2025 ~ 2026,€1.1M,€6K,1621,,"Jul 17, 2025",Chicago Fire
,J. ElliottCB,28,72,72,LCB(3)2025 ~ 2025,€2M,€7K,1482,,"Jul 17, 2025",Chicago Fire
,A. GutmanLB,27,67,67,LB(15)2024 ~ 2026,€975K,€6K,1740,,"Jul 17, 2025",Chicago Fire
,K. AcostaCDMCM,28,71,71,CDM(23)2024 ~ 2026,€1.6M,€7K,2014,,"Jul 17, 2025",Chicago Fire
,S. OregelCM,19,51,68,RCM(35)2022 ~ 2025,€150K,€4K,1356,,"Jul 17, 2025",Chicago Fire
,B. GutiérrezLMCAMCM,21,67,77,LCM(17)2020 ~ 2028,€2.3M,€5K,1655,,"Jul 17, 2025",Chicago Fire
,P. ZinckernagelLWRW,29,74,74,RW(11)2025 ~ 2028,€4.1M,€9K,1917,,"Jul 17, 2025",Chicago Fire
,H. CuypersST,27,76,76,ST(9)2024 ~ 2026,€8M,€10K,1951,,"Jul 17, 2025",Chicago Fire
,J. BambaLMCMLW,28,77,77,LW(19)2025 ~ 2027,€10.5M,€10K,1972,,"Jul 17, 2025",Chicago Fire
,T. BarlowSTCAM,28,61,61,SUB(12)2024 ~ 2025,€325K,€6K,1632,,"Jul 17, 2025",Chicago Fire
,R. KouaméCMCDM,27,73,73,"SUB(6)Dec 31, 2025On loan",€3.2M,€9K,1928,,"Jul 17, 2025",Chicago Fire
,C. MuellerLMRMLW,27,66,66,SUB(8)2022 ~ 2025,€900K,€6K,1656,,"Jul 17, 2025",Chicago Fire
,M. PinedaCBCDM,26,65,67,SUB(22)2020 ~ 2026,€775K,€6K,1460,,"Jul 17, 2025",Chicago Fire
,O. GonzálezCB,35,63,63,SUB(34)2025 ~ 2025,€130K,€4K,1422,,"Jul 17, 2025",Chicago Fire
,C. GasperLB,28,63,63,SUB(77)2024 ~ 2025,€425K,€6K,1551,,"Jul 17, 2025",Chicago Fire
,J. GalGK,31,63,63,SUB(25)2023 ~ 2028,€250K,€4K,940,,"Jul 17, 2025",Chicago Fire
,C. TeránCB,23,65,73,SUB(4)2020 ~ 2027,€1.5M,€5K,1447,,"Jul 17, 2025",Chicago Fire
,M. Haile-SelassieRMLMST,25,66,67,SUB(7)2024 ~ 2025,€1M,€6K,1708,,"Jul 17, 2025",Chicago Fire
,D. PorebaCM,21,55,66,SUB(29)2024 ~ 2025,€275K,€4K,1499,,"Jul 17, 2025",Chicago Fire
,O. GlasgowRMRW,20,55,70,SUB(26)2024 ~ 2026,€300K,€4K,1432,,"Jul 17, 2025",Chicago Fire
,J. ReynoldsRBRM,20,54,64,SUB(36)2023 ~ 2026,€230K,€4K,1330,,"Jul 17, 2025",Chicago Fire
,Leonardo BarrosoRB,19,57,76,RES(2)2025 ~ 2028,€400K,€3K,1513,,"Jul 17, 2025",Chicago Fire
,S. WilliamsCMCDMCAM,19,52,69,RES(47)2025 ~ 2025,€210K,€4K,1427,,"Jul 17, 2025",Chicago Fire
,D. D'AvillaCDM,21,54,67,RES(42)2025 ~ 2028,€250K,€4K,1401,,"Jul 17, 2025",Chicago Fire
