,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,Z. SteffenGK,29,73,73,GK(1)2024 ~ 2026,€2.1M,€5K,1291,,"Jul 17, 2025",Colorado Rapids
,R. CannonRBCB,26,71,73,RB(4)2024 ~ 2027,€2.1M,€7K,1767,,"Jul 17, 2025",Colorado Rapids
,A. MaxsøCB,30,69,69,RCB(5)2023 ~ 2025,€1.1M,€6K,1656,,"Jul 17, 2025",Colorado Rapids
,C. AwaziemCB,27,70,72,LCB(6)2024 ~ 2025,€1.7M,€6K,1639,,"Jul 17, 2025",Colorado Rapids
,K. RosenberryRBLBRM,30,70,70,LB(2)2019 ~ 2027,€1.4M,€7K,1843,,"Jul 17, 2025",Colorado Rapids
,O. LarrazCDM,22,62,73,RDM(8)2021 ~ 2028,€850K,€5K,1560,,"Jul 17, 2025",Colorado Rapids
,J. AtencioCDMCMCB,22,64,73,LDM(12)2025 ~ 2027,€1.2M,€5K,1635,,"Jul 17, 2025",Colorado Rapids
,K. CabralLMSTRM,24,65,68,RM(91)2022 ~ 2026,€975K,€5K,1670,,"Jul 17, 2025",Colorado Rapids
,D. MihailovicCAMCM,25,75,78,LM(10)2024 ~ 2027,€7.5M,€9K,1992,,"Jul 17, 2025",Colorado Rapids
,C. BassettCAMCMCDM,22,70,78,CAM(23)2018 ~ 2027,€3.6M,€6K,1820,,"Jul 17, 2025",Colorado Rapids
,Rafael NavarroST,24,69,74,ST(9)2023 ~ 2027,€2.1M,€6K,1639,,"Jul 17, 2025",Colorado Rapids
,D. YapiST,19,60,77,SUB(77)2021 ~ 2025,€650K,€4K,1427,,"Jul 17, 2025",Colorado Rapids
,C. RonanCMCDMCAM,26,69,70,SUB(20)2023 ~ 2026,€1.6M,€6K,1816,,"Jul 17, 2025",Colorado Rapids
,T. Ku-DiPietroLMCAMST,22,65,74,SUB(21)2025 ~ 2027,€1.6M,€5K,1562,,"Jul 17, 2025",Colorado Rapids
,C. HarrisRMLMST,24,57,60,SUB(14)2023 ~ 2028,€220K,€5K,1466,,"Jul 17, 2025",Colorado Rapids
,S. VinesLB,25,69,72,SUB(3)2024 ~ 2027,€1.7M,€6K,1661,,"Jul 17, 2025",Colorado Rapids
,I. MurphyCB,24,66,70,SUB(19)2024 ~ 2026,€1.1M,€5K,1525,,"Jul 17, 2025",Colorado Rapids
,A. BeaudryGK,18,53,73,SUB(31)2024 ~ 2027,€230K,€1K,859,,"Jul 17, 2025",Colorado Rapids
,S. BassettCM,21,55,65,SUB(18)2025 ~ 2025,€275K,€4K,1477,,"Jul 17, 2025",Colorado Rapids
,J. TravisLB,20,53,67,SUB(99)2022 ~ 2025,€220K,€4K,1338,,"Jul 17, 2025",Colorado Rapids
,K. Stewart-BaynesST,19,54,69,SUB(27)2024 ~ 2026,€250K,€4K,1332,,"Jul 17, 2025",Colorado Rapids
,W. FrederickCAM,20,51,62,SUB(13)2024 ~ 2026,€130K,€4K,1302,,"Jul 17, 2025",Colorado Rapids
,N. Defreitas-HansenGK,22,54,64,SUB(41)2025 ~ 2025,€210K,€2K,847,,"Jul 17, 2025",Colorado Rapids
,A. HarrisST,19,53,63,RES(16)2023 ~ 2027,€200K,€4K,1285,,"Jul 17, 2025",Colorado Rapids
