,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,P. SchulteGK,23,71,79,GK(28)2022 ~ 2027,€3.6M,€3K,1065,,"Jul 17, 2025",Columbus Crew
,S. MoreiraCBRB,29,72,72,RCB(31)2021 ~ 2025,€2M,€7K,1805,,"Jul 17, 2025",Columbus Crew
,Y. CheberkoCB,26,68,71,CB(21)2023 ~ 2026,€1.4M,€6K,1676,,"Jul 17, 2025",Columbus Crew
,M. AmundsenCBLBLM,26,68,69,LCB(18)2023 ~ 2027,€1.2M,€6K,1785,,"Jul 17, 2025",Columbus Crew
,M. FarsiRM,24,69,72,RM(23)2022 ~ 2029,€1.9M,€6K,1786,,"Jul 17, 2025",Columbus Crew
,D. ChambostCMCAM,26,70,71,RCM(7)2024 ~ 2026,€1.9M,€7K,1886,,"Jul 17, 2025",Columbus Crew
,D. NagbeCMCDM,33,75,75,LCM(6)2019 ~ 2025,€3.5M,€9K,2012,,"Jul 17, 2025",Columbus Crew
,M. ArfstenLMRMCAM,23,67,73,LM(27)2023 ~ 2029,€1.6M,€5K,1777,,"Jul 17, 2025",Columbus Crew
,D. RossiCAMST,26,75,76,RAM(10)2023 ~ 2026,€6.5M,€9K,1880,,"Jul 17, 2025",Columbus Crew
,D. GazdagCAMST,28,75,75,LAM(8)2025 ~ 2025,€5.5M,€9K,1946,,"Jul 17, 2025",Columbus Crew
,J. Russell-RoweSTCAM,21,64,75,ST(19)2022 ~ 2029,€1.3M,€5K,1506,,"Jul 17, 2025",Columbus Crew
,A. HerreraRMRB,25,69,70,"SUB(2)Jun 30, 2025On loan",€1.7M,€12K,1920,,"Jul 17, 2025",Columbus Crew
,L. LappalainenLMLB,25,65,65,SUB(26)2025 ~ 2025,€800K,€6K,1665,,"Jul 17, 2025",Columbus Crew
,D. JonesCDMCMCB,27,65,65,SUB(20)2024 ~ 2025,€675K,€6K,1768,,"Jul 17, 2025",Columbus Crew
,I. AliyuLMST,22,65,74,SUB(11)2025 ~ 2025,€1.6M,€5K,1599,,"Jul 17, 2025",Columbus Crew
,A. JacksonCAMRM,22,64,73,SUB(13)2024 ~ 2025,€1.3M,€5K,1575,,"Jul 17, 2025",Columbus Crew
,R. CamachoCB,33,69,69,SUB(4)2023 ~ 2025,€675K,€6K,1681,,"Jul 17, 2025",Columbus Crew
,N. HagenGK,27,64,66,SUB(1)2024 ~ 2029,€525K,€4K,947,,"Jul 17, 2025",Columbus Crew
,S. ZawadzkiCBCM,24,68,74,SUB(25)2022 ~ 2029,€1.7M,€5K,1758,,"Jul 17, 2025",Columbus Crew
,A. SejdičCMCAMCDM,27,63,63,SUB(14)2025 ~ 2025,€500K,€6K,1692,,"Jul 17, 2025",Columbus Crew
,E. BushGK,38,62,62,SUB(24)2020 ~ 2025,€45K,€2K,1052,,"Jul 17, 2025",Columbus Crew
,C. RuvalcabaCB,22,55,62,SUB(48)2025 ~ 2025,€240K,€4K,1378,,"Jul 17, 2025",Columbus Crew
,T. HabrouneCAMCM,18,57,77,SUB(16)2024 ~ 2027,€450K,€4K,1539,,"Jul 17, 2025",Columbus Crew
,C. MrowkaCAMCM,18,52,72,RES(29)2024 ~ 2026,€220K,€3K,1370,,"Jul 17, 2025",Columbus Crew
