,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,Kim Joon HongGK,21,69,75,GK(1)2025 ~ 2027,€1.8M,€2K,1028,,"Jul 17, 2025",DC United
,A. HerreraRBRMCB,27,71,71,RB(22)2024 ~ 2025,€1.8M,€7K,1835,,"Jul 17, 2025",DC United
,L. BartlettCB,26,67,69,RCB(3)2024 ~ 2027,€1.1M,€6K,1373,,"Jul 17, 2025",DC United
,K. RowlesCB,26,71,72,LCB(15)2025 ~ 2026,€1.9M,€7K,1514,,"Jul 17, 2025",DC United
,D. SchneggLB,25,71,74,LB(28)2024 ~ 2026,€2.3M,€7K,1890,,"Jul 17, 2025",DC United
,H. KijimaCMCDMCAM,22,55,63,RDM(77)2024 ~ 2025,€275K,€5K,1508,,"Jul 17, 2025",DC United
,Boris EnowCM,24,63,67,LDM(6)2024 ~ 2027,€675K,€5K,1697,,"Jul 17, 2025",DC United
,J. StroudRMLM,27,68,68,RAM(8)2024 ~ 2026,€1.3M,€6K,1756,,"Jul 17, 2025",DC United
,Gabriel PiraniCAMCM,22,67,74,CAM(10)2024 ~ 2025,€2.1M,€6K,1694,,"Jul 17, 2025",DC United
,João PeglowLMCAMRM,22,64,71,LAM(7)2025 ~ 2027,€1.2M,€5K,1555,,"Jul 17, 2025",DC United
,C. BentekeST,33,75,75,ST(20)2022 ~ 2025,€3.6M,€10K,1776,,"Jul 17, 2025",DC United
,D. BadjiSTRM,31,64,64,SUB(14)2024 ~ 2026,€500K,€7K,1649,,"Jul 17, 2025",DC United
,J. MurrellST,20,60,74,SUB(17)2024 ~ 2026,€600K,€5K,1383,,"Jul 17, 2025",DC United
,R. LealCAMCMRM,27,66,66,SUB(11)2025 ~ 2025,€900K,€6K,1774,,"Jul 17, 2025",DC United
,J. HopkinsCAMCMCDM,20,58,75,SUB(25)2022 ~ 2025,€525K,€4K,1455,,"Jul 17, 2025",DC United
,L. MacNaughtonCB,29,62,62,SUB(5)2024 ~ 2025,€325K,€6K,1398,,"Jul 17, 2025",DC United
,G. TubbsCB,22,60,67,SUB(16)2024 ~ 2025,€475K,€5K,1246,,"Jul 17, 2025",DC United
,L. BarrazaGK,27,63,65,SUB(13)2024 ~ 2025,€450K,€3K,944,,"Jul 17, 2025",DC United
,C. AntleyLBCB,29,56,56,SUB(12)2024 ~ 2025,€130K,€5K,1313,,"Jul 17, 2025",DC United
,D. DodsonRB,25,58,61,SUB(18)2024 ~ 2025,€250K,€5K,1562,,"Jul 17, 2025",DC United
,M. PeltolaCDMCB,21,66,77,SUB(4)2024 ~ 2027,€1.8M,€4K,1571,,"Jul 17, 2025",DC United
,B. ServaniaCDMCM,25,64,68,SUB(23)2025 ~ 2026,€750K,€5K,1717,,"Jul 17, 2025",DC United
,F. BarajasRMLM,18,69,78,SUB(99)2024 ~ 2028,€2.9M,€4K,1682,,"Jul 17, 2025",DC United
,J. FarrGK,29,58,59,RES(24)2024 ~ 2026,€160K,€3K,842,,"Jul 17, 2025",DC United
