,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,R. CelentanoGK,23,72,80,GK(18)2022 ~ 2027,€4.5M,€4K,964,,"Jul 17, 2025",FC Cincinnati
,M. RobinsonCB,27,73,75,RCB(12)2024 ~ 2027,€3.2M,€7K,1699,,"Jul 17, 2025",FC Cincinnati
,N. HagglundCB,31,68,68,CB(4)2019 ~ 2027,€825K,€6K,1526,,"Jul 17, 2025",FC Cincinnati
,M. MiazgaCB,28,72,72,LCB(21)2022 ~ 2025,€2M,€7K,1493,,"Jul 17, 2025",FC Cincinnati
,D. YedlinRBRMCB,30,71,71,RM(91)2024 ~ 2025,€1.6M,€7K,1863,,"Jul 17, 2025",FC Cincinnati
,P. BuchaCMCDMCAM,26,74,75,RCM(20)2024 ~ 2026,€4.9M,€8K,2044,,"Jul 17, 2025",FC Cincinnati
,Tah AnungaCDMCM,27,63,63,LCM(27)2025 ~ 2025,€450K,€6K,1597,,"Jul 17, 2025",FC Cincinnati
,Y. KuboCAMCMST,30,71,71,LM(7)2020 ~ 2025,€1.8M,€8K,1956,,"Jul 17, 2025",FC Cincinnati
,EvanderCAMCM,26,78,79,RAM(10)2025 ~ 2027,€16.5M,€11K,2092,,"Jul 17, 2025",FC Cincinnati
,L. OrellanoLMRWRM,24,73,76,LAM(23)2025 ~ 2029,€4.2M,€7K,1887,,"Jul 17, 2025",FC Cincinnati
,K. DenkeyST,23,76,82,ST(9)2025 ~ 2028,€12M,€9K,1805,,"Jul 17, 2025",FC Cincinnati
,Sergio SantosST,29,67,67,SUB(17)2022 ~ 2029,€1M,€7K,1665,,"Jul 17, 2025",FC Cincinnati
,C. BairdSTRM,28,66,66,SUB(11)2024 ~ 2025,€875K,€7K,1703,,"Jul 17, 2025",FC Cincinnati
,O. NwobodoCDMCM,27,73,73,SUB(5)2022 ~ 2028,€2.9M,€7K,1966,,"Jul 17, 2025",FC Cincinnati
,G. ValenzuelaCAMSTCM,19,55,67,SUB(22)2023 ~ 2026,€300K,€4K,1434,,"Jul 17, 2025",FC Cincinnati
,T. HadebeCB,28,69,70,SUB(16)2024 ~ 2025,€1.3M,€6K,1583,,"Jul 17, 2025",FC Cincinnati
,A. PowellRBRMCB,29,66,66,SUB(2)2022 ~ 2029,€750K,€6K,1709,,"Jul 17, 2025",FC Cincinnati
,A. KannGK,33,66,66,SUB(1)2022 ~ 2029,€275K,€4K,1156,,"Jul 17, 2025",FC Cincinnati
,S. JimenezCDMCMRB,17,49,70,SUB(37)2022 ~ 2025,€140K,€2K,1326,,"Jul 17, 2025",FC Cincinnati
,Ș. ChirilăST,17,55,76,SUB(19)2025 ~ 2028,€400K,€3K,1338,,"Jul 17, 2025",FC Cincinnati
,E. LouroGK,28,59,61,SUB(13)2022 ~ 2025,€190K,€3K,1039,,"Jul 17, 2025",FC Cincinnati
,P. WaltersGK,20,51,65,SUB(25)2023 ~ 2026,€120K,€2K,820,,"Jul 17, 2025",FC Cincinnati
