,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,M. PaesGK,26,72,76,GK(1)2022 ~ 2025,€2.5M,€5K,1044,,"Jul 17, 2025",FC Dallas
,S. MooreRBRM,27,69,69,RB(18)2024 ~ 2025,€1.3M,€6K,1830,,"Jul 17, 2025",FC Dallas
,S. IbeaghaCB,32,65,65,RCB(25)2023 ~ 2027,€475K,€6K,1388,,"Jul 17, 2025",FC Dallas
,L. AbubakarCB,29,66,66,LCB(5)2024 ~ 2026,€725K,€6K,1487,,"Jul 17, 2025",FC Dallas
,M. FarfanLBLMCB,25,66,67,LB(4)2022 ~ 2025,€925K,€6K,1677,,"Jul 17, 2025",FC Dallas
,S. LletgetCMCDM,31,66,66,RDM(8)2022 ~ 2025,€700K,€6K,1850,,"Jul 17, 2025",FC Dallas
,RamiroCDMCMRB,31,73,73,LDM(17)2025 ~ 2026,€2.1M,€8K,1888,,"Jul 17, 2025",FC Dallas
,B. KamungoLMRMRW,22,64,71,RM(77)2022 ~ 2027,€1.2M,€5K,1661,,"Jul 17, 2025",FC Dallas
,A. JulioSTLMRM,28,68,68,LM(11)2024 ~ 2025,€1.2M,€7K,1749,,"Jul 17, 2025",FC Dallas
,L. AcostaCAMST,30,80,80,CAM(10)2025 ~ 2026,€20.5M,€13K,1966,,"Jul 17, 2025",FC Dallas
,P. MusaST,26,76,77,ST(9)2024 ~ 2027,€9M,€10K,1890,,"Jul 17, 2025",FC Dallas
,L. FarringtonST,22,62,69,SUB(23)2023 ~ 2025,€825K,€5K,1438,,"Jul 17, 2025",FC Dallas
,ShowCDMCM,25,67,72,SUB(21)2023 ~ 2025,€1.4M,€6K,1728,,"Jul 17, 2025",FC Dallas
,KaickCDM,18,66,80,SUB(55)2025 ~ 2028,€1.9M,€4K,1717,,"Jul 17, 2025",FC Dallas
,P. PomykalCMCDMCAM,24,66,71,SUB(19)2016 ~ 2027,€1.3M,€5K,1844,,"Jul 17, 2025",FC Dallas
,T. NtsabelengCMCAM,26,62,63,SUB(16)2022 ~ 2029,€475K,€6K,1699,,"Jul 17, 2025",FC Dallas
,Geovane JesusRB,22,61,70,SUB(2)2023 ~ 2026,€700K,€5K,1555,,"Jul 17, 2025",FC Dallas
,A. CarreraGK,20,53,67,SUB(13)2022 ~ 2029,€200K,€2K,845,,"Jul 17, 2025",FC Dallas
,Léo ChúLMCAM,24,66,69,SUB(7)2025 ~ 2026,€1.2M,€5K,1606,,"Jul 17, 2025",FC Dallas
,P. DelgadoCDMCAM,20,64,74,SUB(6)2025 ~ 2027,€1.2M,€4K,1650,,"Jul 17, 2025",FC Dallas
,M. CollodiGK,23,59,65,SUB(30)2025 ~ 2025,€300K,€2K,886,,"Jul 17, 2025",FC Dallas
,N. NorrisLBCDMCM,19,57,71,SUB(32)2022 ~ 2025,€375K,€3K,1591,,"Jul 17, 2025",FC Dallas
,D. BaranRWLW,17,53,70,SUB(36)2025 ~ 2026,€230K,€3K,1301,,"Jul 17, 2025",FC Dallas
,T. ScottSTRW,19,52,69,RES(41)2022 ~ 2025,€210K,€4K,1392,,"Jul 17, 2025",FC Dallas
,H. EndeleyRMRB,22,55,64,RES(27)2022 ~ 2029,€275K,€5K,1528,,"Jul 17, 2025",FC Dallas
,M. MolinaRWRB,17,53,71,RES(35)2025 ~ 2025,€230K,€3K,1461,,"Jul 17, 2025",FC Dallas
,A. RamírezRWCAM,18,56,69,RES(51)2025 ~ 2025,€325K,€4K,1443,,"Jul 17, 2025",FC Dallas
,PedrinhoRWRMLM,21,55,64,RES(20)2024 ~ 2025,€275K,€4K,1477,,"Jul 17, 2025",FC Dallas
,Álvaro AugustoCB,19,56,73,RES(22)2025 ~ 2027,€350K,€3K,1240,,"Jul 17, 2025",FC Dallas
,A. UrzuaCM,18,49,69,RES(34)2023 ~ 2025,€130K,€3K,1354,,"Jul 17, 2025",FC Dallas
