,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,A. TarbellGK,30,63,63,GK(13)2023 ~ 2027,€325K,€4K,984,,"Jul 17, 2025",Houston Dynamo
,G. DorseyRB,25,65,68,RB(25)2021 ~ 2025,€875K,€5K,1785,,"Jul 17, 2025",Houston Dynamo
,E. SviatchenkoCB,32,72,72,RCB(28)2023 ~ 2028,€1.5M,€7K,1816,,"Jul 17, 2025",Houston Dynamo
,F. AwodesuCB,23,59,66,LCB(24)2025 ~ 2025,€425K,€5K,1278,,"Jul 17, 2025",Houston Dynamo
,F. EscobarLBRB,29,68,68,LB(2)2023 ~ 2029,€1.1M,€6K,1717,,"Jul 17, 2025",Houston Dynamo
,Júnior UrsoCDMCM,35,68,68,RDM(30)2025 ~ 2025,€350K,€5K,1835,,"Jul 17, 2025",Houston Dynamo
,ArturCDMCM,28,72,72,LDM(6)2023 ~ 2025,€2.1M,€7K,1827,,"Jul 17, 2025",Houston Dynamo
,J. McGlynnCMCDMRM,20,71,81,RM(21)2025 ~ 2025,€4.1M,€5K,1812,,"Jul 17, 2025",Houston Dynamo
,S. KowalczykCAMSTRM,25,68,71,LM(27)2023 ~ 2027,€1.6M,€6K,1794,,"Jul 17, 2025",Houston Dynamo
,A. BassiCAM,26,70,71,CAM(8)2023 ~ 2027,€1.9M,€7K,1889,,"Jul 17, 2025",Houston Dynamo
,E. PonceST,27,75,75,ST(10)2024 ~ 2027,€6M,€10K,1886,,"Jul 17, 2025",Houston Dynamo
,S. GyamfiST,21,61,68,SUB(19)2023 ~ 2025,€675K,€5K,1525,,"Jul 17, 2025",Houston Dynamo
,N. LodeiroCAMCMRM,35,73,73,SUB(20)2025 ~ 2025,€1.2M,€6K,1942,,"Jul 17, 2025",Houston Dynamo
,L. EnnaliLMRM,22,65,74,SUB(11)2024 ~ 2026,€1.6M,€5K,1578,,"Jul 17, 2025",Houston Dynamo
,N. QuiñónesLMRM,21,63,73,SUB(7)2023 ~ 2025,€1.1M,€4K,1536,,"Jul 17, 2025",Houston Dynamo
,D. SteresLBRBCB,33,66,66,SUB(5)2022 ~ 2025,€450K,€6K,1545,,"Jul 17, 2025",Houston Dynamo
,E. BartlowCB,24,64,68,SUB(4)2021 ~ 2025,€750K,€5K,1424,,"Jul 17, 2025",Houston Dynamo
,J. MaurerGK,35,64,64,SUB(1)2025 ~ 2026,€60K,€2K,1125,,"Jul 17, 2025",Houston Dynamo
,É. DueñasCMRB,19,59,70,SUB(16)2025 ~ 2025,€475K,€4K,1489,,"Jul 17, 2025",Houston Dynamo
,O. LingrCAMLWRW,25,72,73,SUB(9)2025 ~ 2028,€2.8M,€7K,2016,,"Jul 17, 2025",Houston Dynamo
,Exon ArzúSTRWRM,20,54,65,SUB(33)2024 ~ 2026,€240K,€4K,1352,,"Jul 17, 2025",Houston Dynamo
,G. SegalST,23,54,61,SUB(17)2024 ~ 2029,€220K,€5K,1298,,"Jul 17, 2025",Houston Dynamo
,J. BondGK,31,67,67,SUB(31)2025 ~ 2026,€550K,€4K,1198,,"Jul 17, 2025",Houston Dynamo
,M. HallidayRB,21,58,69,RES(23)2025 ~ 2025,€425K,€4K,1420,,"Jul 17, 2025",Houston Dynamo
,B. GillinghamGK,21,56,64,RES(26)2025 ~ 2025,€275K,€2K,899,,"Jul 17, 2025",Houston Dynamo
,D. HolmesCAMRM,29,70,70,RES(14)2025 ~ 2025,€1.6M,€7K,1903,,"Jul 17, 2025",Houston Dynamo
,P. OrtizCBLB,24,63,70,RES(22)2024 ~ 2028,€900K,€5K,1437,,"Jul 17, 2025",Houston Dynamo
,B. RainesCMCDM,19,58,75,RES(35)2022 ~ 2025,€525K,€4K,1508,,"Jul 17, 2025",Houston Dynamo
