,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,D. CallenderGK,26,70,74,GK(1)2019 ~ 2025,€1.7M,€4K,954,,"Jul 17, 2025",Inter Miami
,I. FrayCBRB,21,63,76,RB(17)2021 ~ 2025,€1.1M,€4K,1417,,"Jul 17, 2025",Inter Miami
,G. LujánCBRB,23,69,77,RCB(2)2025 ~ 2027,€2.9M,€5K,1639,,"Jul 17, 2025",Inter Miami
,N. AllenLBCB,20,65,75,LCB(32)2022 ~ 2025,€1.5M,€4K,1685,,"Jul 17, 2025",Inter Miami
,Jordi AlbaLB,35,80,80,LB(18)2023 ~ 2025,€6.5M,€9K,2169,,"Jul 17, 2025",Inter Miami
,Sergio BusquetsCDMCMCB,35,81,81,RDM(5)2023 ~ 2025,€7.5M,€10K,1953,,"Jul 17, 2025",Inter Miami
,Y. BrightCDMCM,22,66,71,LDM(42)2023 ~ 2025,€1.2M,€5K,1576,,"Jul 17, 2025",Inter Miami
,T. AllendeRMLMST,25,72,73,"RM(21)Jun 30, 2025On loan",€2.8M,€20K,1835,,"Jul 17, 2025",Inter Miami
,T. SegoviaCMCAM,21,69,80,LM(8)2025 ~ 2029,€3.1M,€5K,1821,,"Jul 17, 2025",Inter Miami
,L. MessiRWSTCAM,37,87,87,RS(10)2023 ~ 2025,€26M,€19K,2100,,"Jul 17, 2025",Inter Miami
,L. SuárezST,37,81,81,LS(9)2024 ~ 2027,€9M,€12K,2136,,"Jul 17, 2025",Inter Miami
,Fafà PicaultLWSTLM,33,69,69,SUB(7)2024 ~ 2025,€875K,€7K,1745,,"Jul 17, 2025",Inter Miami
,L. AfonsoLWST,22,61,69,SUB(22)2024 ~ 2025,€725K,€5K,1496,,"Jul 17, 2025",Inter Miami
,B. CremaschiCMCAMRM,19,68,80,SUB(30)2022 ~ 2027,€2.9M,€4K,1743,,"Jul 17, 2025",Inter Miami
,D. RuizCMCDMRB,20,64,75,SUB(41)2023 ~ 2025,€1.3M,€4K,1608,,"Jul 17, 2025",Inter Miami
,D. MartínezCBLB,26,72,73,"SUB(14)Jul 31, 2025On loan",€2.4M,€14K,1908,,"Jul 17, 2025",Inter Miami
,T. AvilésCBCDM,20,71,82,SUB(6)2023 ~ 2026,€3.8M,€5K,1728,,"Jul 17, 2025",Inter Miami
,O. UstariGK,37,69,69,SUB(19)2024 ~ 2025,€150K,€2K,1257,,"Jul 17, 2025",Inter Miami
,R. SailorCB,26,63,66,SUB(15)2022 ~ 2025,€550K,€6K,1316,,"Jul 17, 2025",Inter Miami
,F. RedondoCMCDM,21,73,80,SUB(55)2024 ~ 2027,€6M,€6K,1967,,"Jul 17, 2025",Inter Miami
,M. WeigandtRB,24,70,74,"SUB(57)Dec 31, 2025On loan",€2.1M,€11K,1829,,"Jul 17, 2025",Inter Miami
,B. RodríguezCAMLWCM,20,70,79,"SUB(38)Dec 31, 2025On loan",€3.5M,€10K,1794,,"Jul 17, 2025",Inter Miami
,R. Ríos NovoGK,22,62,72,SUB(34)2019 ~ 2025,€775K,€3K,848,,"Jul 17, 2025",Inter Miami
,S. MoralesCAMRM,17,57,76,RES(81)2023 ~ 2027,€400K,€3K,1442,,"Jul 17, 2025",Inter Miami
,T. HallCBCDM,18,57,77,RES(26)2024 ~ 2027,€425K,€3K,1437,,"Jul 17, 2025",Inter Miami
,I. BoatwrightRB,19,57,74,RES(62)2024 ~ 2026,€400K,€3K,1333,,"Jul 17, 2025",Inter Miami
