,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,J. McCarthyGK,31,68,68,GK(77)2024 ~ 2025,€650K,€4K,1052,,"Jul 17, 2025",LA Galaxy
,M. YamaneRB,30,72,72,RB(2)2024 ~ 2026,€2M,€7K,1879,,"Jul 17, 2025",LA Galaxy
,M. YoshidaCB,35,72,72,RCB(4)2023 ~ 2026,€625K,€6K,1693,,"Jul 17, 2025",LA Galaxy
,ZankaCB,34,71,71,LCB(5)2025 ~ 2026,€600K,€7K,1614,,"Jul 17, 2025",LA Galaxy
,J. NelsonLB,25,67,70,LB(14)2024 ~ 2025,€1.2M,€6K,1529,,"Jul 17, 2025",LA Galaxy
,I. ParenteCMCDM,24,57,62,RDM(16)2024 ~ 2025,€250K,€5K,1522,,"Jul 17, 2025",LA Galaxy
,E. CerrilloCDMCM,23,69,74,LDM(6)2023 ~ 2026,€1.9M,€5K,1707,,"Jul 17, 2025",LA Galaxy
,Gabriel PecRWLWRM,23,77,83,RM(11)2024 ~ 2028,€16.5M,€9K,1883,,"Jul 17, 2025",LA Galaxy
,D. FagúndezLMRMCAM,29,71,71,LM(7)2023 ~ 2025,€1.8M,€8K,1817,,"Jul 17, 2025",LA Galaxy
,M. ReusCAMST,35,81,81,CAM(18)2024 ~ 2026,€10.5M,€11K,2085,,"Jul 17, 2025",LA Galaxy
,C. RamirezSTCAM,33,69,69,ST(17)2025 ~ 2025,€900K,€7K,1702,,"Jul 17, 2025",LA Galaxy
,J. PaintsilRWRMLW,26,77,77,SUB(28)2024 ~ 2027,€11.5M,€11K,1918,,"Jul 17, 2025",LA Galaxy
,M. BerryST,26,65,66,SUB(27)2024 ~ 2025,€850K,€6K,1583,,"Jul 17, 2025",LA Galaxy
,Emiro GarcésCBRB,22,70,80,SUB(25)2024 ~ 2028,€3.3M,€6K,1578,,"Jul 17, 2025",LA Galaxy
,J. AudeLB,21,67,75,SUB(3)2023 ~ 2027,€2.2M,€4K,1725,,"Jul 17, 2025",LA Galaxy
,E. ZavaletaCB,31,62,62,SUB(15)2022 ~ 2025,€275K,€6K,1575,,"Jul 17, 2025",LA Galaxy
,M. CuevasRB,21,61,71,SUB(19)2023 ~ 2025,€700K,€4K,1466,,"Jul 17, 2025",LA Galaxy
,N. MićovićGK,22,63,72,SUB(1)2023 ~ 2026,€925K,€3K,903,,"Jul 17, 2025",LA Galaxy
,Matheus NascimentoST,20,60,72,SUB(9)2025 ~ 2025,€600K,€5K,1463,,"Jul 17, 2025",LA Galaxy
,E. WynderCMCAM,21,58,66,SUB(22)2025 ~ 2027,€450K,€4K,1541,,"Jul 17, 2025",LA Galaxy
,B. ScottGK,25,61,67,SUB(31)2024 ~ 2026,€400K,€3K,914,,"Jul 17, 2025",LA Galaxy
,H. MillerRB,17,57,76,SUB(26)2025 ~ 2027,€400K,€2K,1395,,"Jul 17, 2025",LA Galaxy
,R. Ramos JrCAM,17,53,76,SUB(24)2024 ~ 2027,€300K,€3K,1333,,"Jul 17, 2025",LA Galaxy
,T. LepleyCMCDM,22,54,62,RES(21)2024 ~ 2025,€240K,€5K,1492,,"Jul 17, 2025",LA Galaxy
,Riqui PuigCMCAM,24,80,84,RES(10)2022 ~ 2027,€30M,€11K,1940,,"Jul 17, 2025",LA Galaxy
,J. MarcinkowskiGK,27,65,67,RES(12)2025 ~ 2027,€650K,€4K,1063,,"Jul 17, 2025",LA Galaxy
