,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,H. LlorisGK,37,77,77,GK(1)2024 ~ 2025,€1.2M,€4K,1299,,"Jul 17, 2025",Los Angeles FC
,Sergi PalenciaRBRMLB,28,70,70,RB(14)2023 ~ 2025,€1.4M,€7K,1840,,"Jul 17, 2025",Los Angeles FC
,MarlonCB,28,72,72,RCB(5)2024 ~ 2025,€2M,€7K,1784,,"Jul 17, 2025",Los Angeles FC
,A. LongCB,31,71,71,LCB(33)2023 ~ 2027,€1.3M,€7K,1749,,"Jul 17, 2025",Los Angeles FC
,R. HollingsheadLBRB,33,72,72,LB(24)2022 ~ 2025,€1.2M,€7K,1982,,"Jul 17, 2025",Los Angeles FC
,Igor JesusCMCDM,21,67,78,CDM(6)2025 ~ 2029,€2.3M,€5K,1781,,"Jul 17, 2025",Los Angeles FC
,T. TillmanCMCAMLW,25,71,74,RCM(11)2023 ~ 2025,€2.5M,€7K,1827,,"Jul 17, 2025",Los Angeles FC
,M. DelgadoCDMCM,29,72,72,LCM(8)2025 ~ 2025,€2M,€7K,1837,,"Jul 17, 2025",Los Angeles FC
,D. MartínezRWRMCAM,18,67,79,RW(30)2024 ~ 2027,€2.4M,€5K,1509,,"Jul 17, 2025",Los Angeles FC
,O. GiroudST,37,81,81,ST(9)2024 ~ 2025,€9M,€12K,1941,,"Jul 17, 2025",Los Angeles FC
,D. BouangaLWST,29,79,79,LW(99)2022 ~ 2027,€17M,€13K,2041,,"Jul 17, 2025",Los Angeles FC
,J. EbobisseST,27,71,71,SUB(17)2025 ~ 2028,€2M,€8K,1815,,"Jul 17, 2025",Los Angeles FC
,Y. YeboahLM,27,67,67,SUB(20)2025 ~ 2027,€1.1M,€6K,1831,,"Jul 17, 2025",Los Angeles FC
,O. HolmCMCDM,21,64,75,"SUB(80)Dec 31, 2025On loan",€1.3M,€22K,1773,,"Jul 17, 2025",Los Angeles FC
,M. ChanotCB,34,71,71,SUB(25)2024 ~ 2025,€600K,€7K,1655,,"Jul 17, 2025",Los Angeles FC
,E. SeguraCBRB,27,68,70,SUB(4)2018 ~ 2025,€1.3M,€6K,1512,,"Jul 17, 2025",Los Angeles FC
,N. TafariCB,27,67,69,SUB(91)2025 ~ 2026,€1.1M,€6K,1532,,"Jul 17, 2025",Los Angeles FC
,T. HasalGK,24,63,69,SUB(12)2024 ~ 2025,€625K,€3K,907,,"Jul 17, 2025",Los Angeles FC
,N. OrdazSTLWRW,20,62,71,SUB(27)2022 ~ 2025,€875K,€5K,1430,,"Jul 17, 2025",Los Angeles FC
,F. AmayaCMCDMCAM,23,69,74,SUB(23)2024 ~ 2027,€2.1M,€6K,1864,,"Jul 17, 2025",Los Angeles FC
,A. SaldañaCDMCM,22,61,70,SUB(43)2025 ~ 2025,€700K,€5K,1631,,"Jul 17, 2025",Los Angeles FC
,D. OchoaGK,23,67,74,SUB(18)2024 ~ 2025,€1.7M,€3K,949,,"Jul 17, 2025",Los Angeles FC
,R. RaposoRMLMLB,25,65,66,SUB(7)2025 ~ 2025,€850K,€6K,1707,,"Jul 17, 2025",Los Angeles FC
,A. WibowoRWRM,18,52,64,RES(77)2024 ~ 2025,€180K,€4K,1344,,"Jul 17, 2025",Los Angeles FC
,L. DellavalleCB,20,58,68,RES(15)2024 ~ 2026,€425K,€4K,1324,,"Jul 17, 2025",Los Angeles FC
,K. NielsenCB,22,53,60,RES(45)2025 ~ 2025,€180K,€4K,1249,,"Jul 17, 2025",Los Angeles FC
