,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,D. St. ClairGK,27,71,74,GK(97)2019 ~ 2027,€1.8M,€5K,958,,"Jul 17, 2025",Minnesota United FC
,B. HlongwaneRMRBRW,24,70,75,RB(21)2022 ~ 2027,€2.4M,€6K,1818,,"Jul 17, 2025",Minnesota United FC
,C. HarveyCDMCBCM,24,63,67,RCB(67)2024 ~ 2025,€625K,€5K,1543,,"Jul 17, 2025",Minnesota United FC
,M. BoxallCB,35,69,69,CB(15)2017 ~ 2028,€375K,€5K,1681,,"Jul 17, 2025",Minnesota United FC
,J. DíazCBRB,23,66,71,LCB(28)2024 ~ 2027,€1.2M,€5K,1621,,"Jul 17, 2025",Minnesota United FC
,J. RosalesLBLMCM,23,67,73,LB(8)2023 ~ 2028,€1.5M,€5K,1738,,"Jul 17, 2025",Minnesota United FC
,W. TrappCDMCM,31,68,68,CDM(20)2021 ~ 2025,€850K,€6K,1762,,"Jul 17, 2025",Minnesota United FC
,R. LodCMCDMCAM,31,73,73,RCM(17)2019 ~ 2025,€2.5M,€8K,1988,,"Jul 17, 2025",Minnesota United FC
,J. PereyraLMCMLW,25,73,74,LCM(26)2024 ~ 2027,€3.6M,€7K,1906,,"Jul 17, 2025",Minnesota United FC
,T. OluwaseyiST,24,65,70,RS(14)2022 ~ 2029,€1.1M,€6K,1604,,"Jul 17, 2025",Minnesota United FC
,K. YeboahST,24,71,76,LS(9)2024 ~ 2027,€2.9M,€7K,1725,,"Jul 17, 2025",Minnesota United FC
,S. JeongSTRWCAM,22,66,75,SUB(7)2023 ~ 2025,€1.9M,€6K,1674,,"Jul 17, 2025",Minnesota United FC
,Jung Ho YeonCMCDM,23,71,77,SUB(22)2025 ~ 2027,€2.9M,€6K,1849,,"Jul 17, 2025",Minnesota United FC
,H. DotsonCDMCM,26,66,69,SUB(31)2019 ~ 2027,€1M,€6K,1716,,"Jul 17, 2025",Minnesota United FC
,N. RomeroCB,20,68,75,SUB(5)2025 ~ 2027,€2.2M,€4K,1669,,"Jul 17, 2025",Minnesota United FC
,A. Markanich JrLBLMCB,24,62,66,SUB(13)2024 ~ 2025,€525K,€5K,1407,,"Jul 17, 2025",Minnesota United FC
,D. PadelfordCBLB,21,62,72,SUB(2)2022 ~ 2029,€825K,€4K,1482,,"Jul 17, 2025",Minnesota United FC
,A. SmirGK,25,52,57,SUB(1)2024 ~ 2027,€90K,€3K,793,,"Jul 17, 2025",Minnesota United FC
,J. GresselCMRM,30,73,73,SUB(24)2025 ~ 2026,€2.9M,€8K,1981,,"Jul 17, 2025",Minnesota United FC
,S. ShashouaSTCAMRM,25,66,69,SUB(19)2024 ~ 2025,€1.1M,€6K,1803,,"Jul 17, 2025",Minnesota United FC
,DJ TaylorRBLBRM,26,65,66,SUB(27)2021 ~ 2025,€775K,€6K,1544,,"Jul 17, 2025",Minnesota United FC
,K. KellerCB,23,60,67,SUB(34)2024 ~ 2025,€450K,€5K,1346,,"Jul 17, 2025",Minnesota United FC
,M. DugganCB,23,59,65,SUB(23)2023 ~ 2027,€325K,€5K,1396,,"Jul 17, 2025",Minnesota United FC
,L. MesanviLWLM,21,52,63,RES(90)2024 ~ 2025,€180K,€4K,1315,,"Jul 17, 2025",Minnesota United FC
