,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,J. WillisGK,35,69,69,GK(1)2019 ~ 2028,€150K,€2K,1167,,"Jul 17, 2025",Nashville SC
,A. NajarRMRBCB,31,69,69,RB(31)2025 ~ 2025,€1.2M,€7K,1947,,"Jul 17, 2025",Nashville SC
,W. ZimmermanCB,31,75,75,RCB(25)2020 ~ 2025,€3.8M,€9K,1747,,"Jul 17, 2025",Nashville SC
,J. MaherCB,24,65,72,LCB(5)2020 ~ 2028,€1.3M,€5K,1433,,"Jul 17, 2025",Nashville SC
,D. LovitzLBCB,32,68,68,LB(2)2019 ~ 2029,€825K,€6K,1843,,"Jul 17, 2025",Nashville SC
,G. BrugmanCMCDM,31,73,73,RDM(7)2025 ~ 2026,€2.5M,€8K,2028,,"Jul 17, 2025",Nashville SC
,E. TagsethCMLB,23,67,72,LDM(20)2025 ~ 2026,€1.5M,€5K,1847,,"Jul 17, 2025",Nashville SC
,J. ShaffelburgLMST,24,67,70,RM(14)2023 ~ 2028,€1.4M,€5K,1768,,"Jul 17, 2025",Nashville SC
,A. MuylRMRBCM,28,68,68,LM(19)2020 ~ 2025,€1.2M,€7K,1864,,"Jul 17, 2025",Nashville SC
,H. MukhtarCAMST,29,79,79,CAM(10)2020 ~ 2025,€17M,€12K,1989,,"Jul 17, 2025",Nashville SC
,S. SurridgeST,25,71,74,ST(9)2023 ~ 2026,€2.5M,€8K,1687,,"Jul 17, 2025",Nashville SC
,T. BunburySTLMRM,34,64,64,SUB(12)2022 ~ 2025,€275K,€7K,1724,,"Jul 17, 2025",Nashville SC
,B. AcostaCMCDM,30,70,70,SUB(6)2025 ~ 2025,€1.5M,€7K,1991,,"Jul 17, 2025",Nashville SC
,T. BoydLMRMRW,29,68,68,SUB(11)2024 ~ 2026,€1.2M,€7K,1877,,"Jul 17, 2025",Nashville SC
,P. YazbekCDMCM,22,66,77,SUB(8)2024 ~ 2027,€1.8M,€5K,1791,,"Jul 17, 2025",Nashville SC
,J. PalaciosCB,30,67,67,SUB(4)2025 ~ 2026,€825K,€6K,1423,,"Jul 17, 2025",Nashville SC
,T. WashingtonLBLM,30,62,62,SUB(23)2019 ~ 2027,€350K,€6K,1378,,"Jul 17, 2025",Nashville SC
,B. SchwakeGK,22,63,69,SUB(99)2025 ~ 2025,€625K,€3K,938,,"Jul 17, 2025",Nashville SC
,J. BauerCB,25,62,65,SUB(22)2022 ~ 2028,€475K,€5K,1392,,"Jul 17, 2025",Nashville SC
,C. ApplewhiteCB,16,57,76,SUB(33)2025 ~ 2027,€375K,€2K,1394,,"Jul 17, 2025",Nashville SC
,J. PérezRM,21,56,68,"SUB(24)Dec 31, 2025On loan",€350K,€4K,1395,,"Jul 17, 2025",Nashville SC
,J. GainesRB,21,56,67,SUB(29)2024 ~ 2028,€300K,€4K,1367,,"Jul 17, 2025",Nashville SC
,X. ValdezGK,20,54,68,SUB(13)2024 ~ 2025,€230K,€2K,835,,"Jul 17, 2025",Nashville SC
,I. JonesCM,18,51,71,RES(47)2024 ~ 2027,€160K,€3K,1472,,"Jul 17, 2025",Nashville SC
,W. MeyerCB,23,53,59,RES(28)2024 ~ 2025,€130K,€4K,1297,,"Jul 17, 2025",Nashville SC
,M. CorcoranCDM,18,53,70,RES(16)2025 ~ 2027,€230K,€3K,1397,,"Jul 17, 2025",Nashville SC
,A. SipićST,18,50,70,RES(77)2024 ~ 2027,€130K,€4K,1231,,"Jul 17, 2025",Nashville SC
