,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,A. IvačičGK,30,67,67,GK(31)2024 ~ 2025,€675K,€4K,987,,"Jul 17, 2025",New England Revolution
,B. ByeRB,28,70,70,RB(15)2018 ~ 2025,€1.4M,€7K,1831,,"Jul 17, 2025",New England Revolution
,B. CeballosCB,23,68,74,RCB(3)2025 ~ 2027,€1.7M,€5K,1490,,"Jul 17, 2025",New England Revolution
,M. FofanaCB,26,70,72,LCB(2)2025 ~ 2027,€1.7M,€6K,1658,,"Jul 17, 2025",New England Revolution
,P. MillerLB,16,57,71,LB(25)2023 ~ 2027,€350K,€2K,1521,,"Jul 17, 2025",New England Revolution
,A. YusufCDMCM,23,72,77,RDM(80)2024 ~ 2027,€3.2M,€6K,1944,,"Jul 17, 2025",New England Revolution
,M. PolsterCDMCMRB,31,68,68,LDM(8)2020 ~ 2029,€850K,€6K,1682,,"Jul 17, 2025",New England Revolution
,L. LangoniRMSTRW,22,72,78,RM(41)2024 ~ 2027,€3.8M,€6K,1810,,"Jul 17, 2025",New England Revolution
,I. GanagoSTLM,25,72,74,"LM(17)Jun 30, 2025On loan",€3M,€19K,1789,,"Jul 17, 2025",New England Revolution
,Carles GilCAMRM,31,79,79,CAM(10)2019 ~ 2027,€14.5M,€12K,1913,,"Jul 17, 2025",New England Revolution
,L. CampanaST,24,72,77,ST(9)2024 ~ 2027,€3.6M,€7K,1670,,"Jul 17, 2025",New England Revolution
,M. UrrutiST,33,65,65,SUB(37)2025 ~ 2025,€450K,€7K,1826,,"Jul 17, 2025",New England Revolution
,T. ChancalayLMRM,25,74,75,SUB(7)2023 ~ 2026,€5M,€8K,1906,,"Jul 17, 2025",New England Revolution
,J. YueillCMCDM,27,69,69,SUB(14)2025 ~ 2027,€1.5M,€6K,1887,,"Jul 17, 2025",New England Revolution
,L. DíazRM,25,66,67,SUB(11)2025 ~ 2025,€1M,€6K,1694,,"Jul 17, 2025",New England Revolution
,A. FarrellCB,32,66,66,SUB(88)2013 ~ 2029,€550K,€6K,1790,,"Jul 17, 2025",New England Revolution
,W. OmsbergCB,28,62,62,SUB(16)2025 ~ 2025,€350K,€6K,1271,,"Jul 17, 2025",New England Revolution
,A. BonoGK,30,65,65,SUB(24)2024 ~ 2026,€475K,€4K,1102,,"Jul 17, 2025",New England Revolution
,W. SandsLMLB,23,63,68,SUB(23)2024 ~ 2025,€725K,€5K,1653,,"Jul 17, 2025",New England Revolution
,T. BeasonCBLB,27,64,66,SUB(4)2024 ~ 2026,€625K,€6K,1422,,"Jul 17, 2025",New England Revolution
,K. HughesCB,21,60,67,SUB(5)2025 ~ 2025,€475K,€4K,1316,,"Jul 17, 2025",New England Revolution
,M. FryRW,19,57,70,SUB(32)2024 ~ 2026,€400K,€4K,1496,,"Jul 17, 2025",New England Revolution
,I. FeingoldRB,19,54,63,SUB(12)2025 ~ 2027,€220K,€3K,1402,,"Jul 17, 2025",New England Revolution
