,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,M. FreeseGK,25,69,74,GK(49)2023 ~ 2026,€1.6M,€4K,976,,"Jul 17, 2025",New York City FC
,M. IleničRBRM,19,64,73,RB(35)2023 ~ 2026,€1.2M,€4K,1611,,"Jul 17, 2025",New York City FC
,ThiagoCB,29,71,71,RCB(13)2022 ~ 2025,€1.6M,€7K,1681,,"Jul 17, 2025",New York City FC
,B. RisaCB,26,68,70,LCB(5)2023 ~ 2025,€1.3M,€6K,1849,,"Jul 17, 2025",New York City FC
,K. O'TooleLBLM,25,64,67,LB(22)2022 ~ 2025,€725K,€5K,1648,,"Jul 17, 2025",New York City FC
,J. HaakCBCDMCM,22,63,69,RDM(80)2019 ~ 2025,€700K,€5K,1565,,"Jul 17, 2025",New York City FC
,K. ParksCDMCM,26,72,74,LDM(55)2020 ~ 2027,€2.6M,€7K,1775,,"Jul 17, 2025",New York City FC
,H. WolfRMCAMLM,25,71,72,RM(17)2024 ~ 2027,€2.2M,€7K,1853,,"Jul 17, 2025",New York City FC
,A. OjedaRWLW,20,69,78,LM(26)2024 ~ 2028,€3.1M,€5K,1712,,"Jul 17, 2025",New York City FC
,M. MoralezCAMCMCDM,37,73,73,CAM(10)2023 ~ 2025,€1M,€6K,1856,,"Jul 17, 2025",New York City FC
,A. MartínezSTLM,25,69,72,ST(16)2023 ~ 2025,€1.9M,€7K,1709,,"Jul 17, 2025",New York City FC
,J. FernándezRWRMLW,20,68,75,SUB(11)2023 ~ 2027,€2.4M,€5K,1688,,"Jul 17, 2025",New York City FC
,M. BakrarST,23,63,68,SUB(9)2023 ~ 2026,€725K,€6K,1452,,"Jul 17, 2025",New York City FC
,A. PereaCDMCM,23,65,70,SUB(8)2024 ~ 2025,€1M,€5K,1762,,"Jul 17, 2025",New York City FC
,T. GrayRBCB,21,66,72,SUB(24)2019 ~ 2025,€1.3M,€4K,1600,,"Jul 17, 2025",New York City FC
,N. CavalloLB,22,58,64,SUB(2)2024 ~ 2025,€300K,€5K,1455,,"Jul 17, 2025",New York City FC
,S. TanasijevićCB,27,58,60,SUB(19)2024 ~ 2025,€220K,€5K,1371,,"Jul 17, 2025",New York City FC
,T. RomeroGK,23,60,67,SUB(30)2024 ~ 2028,€425K,€2K,947,,"Jul 17, 2025",New York City FC
,M. JonesLWST,20,57,66,SUB(88)2024 ~ 2025,€350K,€4K,1398,,"Jul 17, 2025",New York City FC
,D. BaieraRB,17,51,64,SUB(38)2023 ~ 2027,€130K,€2K,1260,,"Jul 17, 2025",New York City FC
,G. RanjitsinghGK,30,60,60,SUB(18)2025 ~ 2025,€160K,€3K,892,,"Jul 17, 2025",New York City FC
,J. ShoreCMCDM,17,51,63,SUB(32)2023 ~ 2026,€130K,€3K,1387,,"Jul 17, 2025",New York City FC
,A. RandoGK,24,52,57,SUB(44)2024 ~ 2025,€100K,€2K,833,,"Jul 17, 2025",New York City FC
,Z. YañezST,16,51,65,RES(36)2024 ~ 2028,€130K,€3K,1295,,"Jul 17, 2025",New York City FC
,M. CarrizoCAM,16,52,66,RES(29)2025 ~ 2027,€180K,€3K,1283,,"Jul 17, 2025",New York City FC
