,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,Carlos CoronelGK,27,72,75,GK(31)2022 ~ 2027,€2.3M,€5K,1256,,"Jul 17, 2025",New York Red Bulls
,D. NealisRBCBRM,25,65,67,RB(12)2022 ~ 2028,€825K,€5K,1574,,"Jul 17, 2025",New York Red Bulls
,A. HackCB,30,71,71,RCB(42)2025 ~ 2026,€1.5M,€7K,1591,,"Jul 17, 2025",New York Red Bulls
,N. EileCB,21,66,78,LCB(3)2024 ~ 2027,€2M,€4K,1478,,"Jul 17, 2025",New York Red Bulls
,O. ValenciaCB,20,51,65,LB(5)2024 ~ 2027,€130K,€4K,1325,,"Jul 17, 2025",New York Red Bulls
,F. CarballoCMCAMCDM,27,73,73,RDM(20)2024 ~ 2025,€3.2M,€8K,1965,,"Jul 17, 2025",New York Red Bulls
,P. StroudCDMCMRM,22,65,73,LDM(8)2023 ~ 2025,€1.5M,€5K,1720,,"Jul 17, 2025",New York Red Bulls
,D. GjengaarRMRW,20,61,75,RM(22)2024 ~ 2027,€800K,€4K,1625,,"Jul 17, 2025",New York Red Bulls
,R. EdwardsLBLM,28,67,67,LM(44)2025 ~ 2026,€925K,€6K,1812,,"Jul 17, 2025",New York Red Bulls
,E. ForsbergCAMLM,32,79,79,CAM(10)2024 ~ 2026,€14M,€12K,1910,,"Jul 17, 2025",New York Red Bulls
,E. Choupo-MotingSTCAM,35,75,75,ST(13)2025 ~ 2026,€2.4M,€8K,1835,,"Jul 17, 2025",New York Red Bulls
,L. MorganSTLMCAM,27,73,73,SUB(9)2021 ~ 2026,€3.3M,€8K,2022,,"Jul 17, 2025",New York Red Bulls
,W. BogaczST,19,56,72,SUB(7)2025 ~ 2028,€375K,€4K,1396,,"Jul 17, 2025",New York Red Bulls
,C. HarperRMRBLM,22,66,74,SUB(17)2021 ~ 2028,€1.9M,€5K,1699,,"Jul 17, 2025",New York Red Bulls
,W. CarmonaRMCAMLW,21,64,73,SUB(19)2021 ~ 2028,€1.3M,€4K,1626,,"Jul 17, 2025",New York Red Bulls
,S. NealisCB,27,70,72,SUB(15)2019 ~ 2026,€1.7M,€6K,1525,,"Jul 17, 2025",New York Red Bulls
,T. ParkerCB,31,67,67,SUB(26)2025 ~ 2025,€700K,€6K,1476,,"Jul 17, 2025",New York Red Bulls
,AJ MarcucciGK,24,53,59,SUB(1)2021 ~ 2025,€120K,€2K,888,,"Jul 17, 2025",New York Red Bulls
,S. NgomaRMST,18,58,78,SUB(81)2022 ~ 2025,€550K,€3K,1509,,"Jul 17, 2025",New York Red Bulls
,M. MoralesLB,21,66,77,SUB(14)2025 ~ 2027,€1.8M,€4K,1579,,"Jul 17, 2025",New York Red Bulls
,C. OforiLBLM,18,56,74,SUB(24)2023 ~ 2025,€350K,€3K,1411,,"Jul 17, 2025",New York Red Bulls
,R. MitchellST,21,50,61,SUB(33)2024 ~ 2026,€110K,€4K,1235,,"Jul 17, 2025",New York Red Bulls
,M. SofoST,19,56,68,SUB(37)2024 ~ 2026,€350K,€4K,1475,,"Jul 17, 2025",New York Red Bulls
,R. DonkorCDMCM,19,61,75,RES(48)2023 ~ 2026,€725K,€4K,1553,,"Jul 17, 2025",New York Red Bulls
,D. EdelmanCDMCM,21,65,76,RES(75)2021 ~ 2027,€1.5M,€4K,1660,,"Jul 17, 2025",New York Red Bulls
,A. StokesGK,16,52,78,RES(21)2024 ~ 2027,€300K,€650,823,,"Jul 17, 2025",New York Red Bulls
,K. DuncanRBLBRM,26,67,68,RES(6)2024 ~ 2025,€1.1M,€6K,1724,,"Jul 17, 2025",New York Red Bulls
,J. HallLMRWST,16,55,78,RES(16)2023 ~ 2026,€400K,€3K,1290,,"Jul 17, 2025",New York Red Bulls
