,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,P. GalleseGK,34,72,72,GK(1)2020 ~ 2029,€400K,€5K,1229,,"Jul 17, 2025",Orlando City SC
,A. FreemanRB,19,57,73,RB(30)2022 ~ 2025,€400K,€3K,1536,,"Jul 17, 2025",Orlando City SC
,R. SchlegelCB,27,65,65,RCB(15)2021 ~ 2027,€650K,€6K,1428,,"Jul 17, 2025",Orlando City SC
,R. JanssonCBLB,32,70,70,LCB(6)2019 ~ 2025,€1M,€7K,1534,,"Jul 17, 2025",Orlando City SC
,D. BrekaloLBCB,25,70,73,LB(4)2024 ~ 2027,€1.9M,€6K,1632,,"Jul 17, 2025",Orlando City SC
,Dagur ThorhallssonRBRMCM,24,64,69,RDM(17)2023 ~ 2028,€825K,€5K,1690,,"Jul 17, 2025",Orlando City SC
,E. AtuestaCMCDM,27,74,75,LDM(20)2025 ~ 2025,€4.8M,€8K,1966,,"Jul 17, 2025",Orlando City SC
,M. PašalićRWRM,23,71,74,RM(87)2025 ~ 2027,€2.6M,€7K,1826,,"Jul 17, 2025",Orlando City SC
,I. AnguloLMLWRM,25,69,70,LM(77)2024 ~ 2025,€1.7M,€6K,1733,,"Jul 17, 2025",Orlando City SC
,M. OjedaCAMRMLM,25,73,75,CAM(10)2023 ~ 2026,€3.8M,€7K,1915,,"Jul 17, 2025",Orlando City SC
,L. MurielST,33,76,76,ST(9)2024 ~ 2026,€4.8M,€10K,1934,,"Jul 17, 2025",Orlando City SC
,R. EnriqueSTLW,23,70,77,SUB(7)2023 ~ 2025,€3.2M,€6K,1759,,"Jul 17, 2025",Orlando City SC
,D. McGuireST,23,67,74,SUB(13)2022 ~ 2029,€2.1M,€6K,1482,,"Jul 17, 2025",Orlando City SC
,N. RodríguezRWCAMLW,20,56,66,SUB(11)2025 ~ 2027,€325K,€4K,1455,,"Jul 17, 2025",Orlando City SC
,C. AraújoCDMCM,23,69,77,SUB(5)2022 ~ 2028,€2.9M,€5K,1694,,"Jul 17, 2025",Orlando City SC
,Rafael SantosLB,26,65,66,SUB(3)2023 ~ 2027,€775K,€6K,1605,,"Jul 17, 2025",Orlando City SC
,K. SmithRBLB,32,65,65,SUB(24)2018 ~ 2025,€500K,€6K,1525,,"Jul 17, 2025",Orlando City SC
,J. OteroGK,21,55,64,SUB(12)2023 ~ 2029,€250K,€2K,852,,"Jul 17, 2025",Orlando City SC
,S. MohammedLMCAM,20,59,68,SUB(23)2022 ~ 2025,€500K,€4K,1500,,"Jul 17, 2025",Orlando City SC
,W. CartagenaCDMCM,29,69,69,SUB(16)2022 ~ 2025,€1.2M,€6K,1834,,"Jul 17, 2025",Orlando City SC
,J. GerbetCDM,23,56,63,SUB(35)2024 ~ 2026,€275K,€5K,1428,,"Jul 17, 2025",Orlando City SC
,C. MercadoGK,24,56,59,SUB(99)2024 ~ 2025,€150K,€2K,854,,"Jul 17, 2025",Orlando City SC
,F. LoyolaCMRM,19,56,73,SUB(95)2022 ~ 2025,€375K,€4K,1436,,"Jul 17, 2025",Orlando City SC
,T. WilliamsCBLB,19,53,69,RES(68)2021 ~ 2028,€230K,€3K,1304,,"Jul 17, 2025",Orlando City SC
,C. GuskeCDM,17,54,70,RES(25)2025 ~ 2027,€250K,€2K,1370,,"Jul 17, 2025",Orlando City SC
,Y. TsukadaLWRW,22,49,56,RES(34)2024 ~ 2025,€100K,€5K,1264,,"Jul 17, 2025",Orlando City SC
,T. Reid-BrownLB,17,48,68,RES(29)2024 ~ 2027,€120K,€2K,1224,,"Jul 17, 2025",Orlando City SC
