,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,A. BlakeGK,33,75,75,GK(18)2014 ~ 2029,€1.8M,€6K,1219,,"Jul 17, 2025",Philadelphia Union
,F. WestfieldRB,18,56,70,RB(39)2025 ~ 2028,€325K,€3K,1431,,"Jul 17, 2025",Philadelphia Union
,J. GlesnesCB,30,74,74,RCB(5)2020 ~ 2025,€3.5M,€8K,1775,,"Jul 17, 2025",Philadelphia Union
,O. MakhanyaCB,20,54,66,LCB(29)2024 ~ 2026,€240K,€4K,1330,,"Jul 17, 2025",Philadelphia Union
,K. WagnerLBLM,27,75,75,LB(27)2019 ~ 2026,€5.5M,€9K,1946,,"Jul 17, 2025",Philadelphia Union
,I. VassilevCMCAMRM,23,67,74,RM(19)2025 ~ 2025,€2M,€5K,1875,,"Jul 17, 2025",Philadelphia Union
,D. Jean JacquesCDMCM,24,70,77,RCM(21)2024 ~ 2026,€3M,€6K,1824,,"Jul 17, 2025",Philadelphia Union
,J. LukiċCMCAM,22,64,73,LCM(4)2025 ~ 2026,€1.3M,€5K,1720,,"Jul 17, 2025",Philadelphia Union
,Q. SullivanSTCMCAM,20,67,81,LM(33)2020 ~ 2028,€2.5M,€5K,1788,,"Jul 17, 2025",Philadelphia Union
,T. BariboST,26,72,73,RS(9)2023 ~ 2025,€2.8M,€8K,1719,,"Jul 17, 2025",Philadelphia Union
,M. UhreST,29,73,73,LS(7)2022 ~ 2029,€3M,€9K,1777,,"Jul 17, 2025",Philadelphia Union
,C. DonovanST,23,60,67,SUB(25)2022 ~ 2025,€500K,€5K,1503,,"Jul 17, 2025",Philadelphia Union
,A. BedoyaCMCDM,37,69,69,SUB(11)2016 ~ 2025,€450K,€5K,1885,,"Jul 17, 2025",Philadelphia Union
,Jesús BuenoCDMCM,25,65,70,SUB(8)2021 ~ 2026,€950K,€5K,1700,,"Jul 17, 2025",Philadelphia Union
,O. MbaizoRBRM,26,68,69,SUB(15)2018 ~ 2027,€1.3M,€6K,1705,,"Jul 17, 2025",Philadelphia Union
,N. HarrielRBCB,23,67,74,SUB(26)2020 ~ 2025,€1.9M,€5K,1596,,"Jul 17, 2025",Philadelphia Union
,I. GlavinovichCB,22,64,75,"SUB(2)Dec 31, 2025On loan",€1.2M,€8K,1557,,"Jul 17, 2025",Philadelphia Union
,O. SemmleGK,26,55,58,SUB(1)2024 ~ 2025,€130K,€3K,868,,"Jul 17, 2025",Philadelphia Union
,B. BenderCAMLMCM,23,63,70,SUB(16)2025 ~ 2025,€975K,€5K,1634,,"Jul 17, 2025",Philadelphia Union
,I. LeFloreLBLM,22,56,63,SUB(12)2023 ~ 2027,€275K,€5K,1386,,"Jul 17, 2025",Philadelphia Union
,J. RafanelloSTLW,24,54,59,SUB(14)2022 ~ 2028,€160K,€5K,1407,,"Jul 17, 2025",Philadelphia Union
,A. RickGK,18,50,68,SUB(76)2024 ~ 2028,€100K,€1K,857,,"Jul 17, 2025",Philadelphia Union
,M. AndersonLW,20,50,60,SUB(35)2024 ~ 2026,€100K,€4K,1244,,"Jul 17, 2025",Philadelphia Union
,D. VazquezLW,18,49,67,RES(22)2024 ~ 2027,€120K,€4K,1219,,"Jul 17, 2025",Philadelphia Union
,C. Olney JrCM,17,51,73,RES(17)2024 ~ 2028,€180K,€3K,1360,,"Jul 17, 2025",Philadelphia Union
,N. ParianoCAM,21,55,65,RES(24)2023 ~ 2025,€275K,€4K,1446,,"Jul 17, 2025",Philadelphia Union
