,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,RafaelGK,34,68,68,GK(1)2025 ~ 2026,€210K,€4K,1149,,"Jul 17, 2025",Real Salt Lake
,J. BrownCBRBRM,25,67,68,RB(91)2024 ~ 2028,€1.1M,€6K,1652,,"Jul 17, 2025",Real Salt Lake
,J. GladCB,27,69,70,RCB(15)2014 ~ 2026,€1.4M,€6K,1571,,"Jul 17, 2025",Real Salt Lake
,B. VeraCB,25,69,73,LCB(4)2023 ~ 2025,€1.7M,€6K,1628,,"Jul 17, 2025",Real Salt Lake
,A. KatranisLB,26,66,67,LB(98)2024 ~ 2025,€925K,€6K,1739,,"Jul 17, 2025",Real Salt Lake
,B. OjedaCDMCM,24,70,76,RDM(6)2023 ~ 2025,€2.3M,€6K,1821,,"Jul 17, 2025",Real Salt Lake
,E. EneliCDM,24,70,75,LDM(14)2023 ~ 2028,€2.2M,€6K,1737,,"Jul 17, 2025",Real Salt Lake
,D. MarczukRM,20,70,79,RM(11)2024 ~ 2028,€3.5M,€5K,1807,,"Jul 17, 2025",Real Salt Lake
,Diogo GonçalvesCM,27,71,71,LM(10)2024 ~ 2026,€2M,€7K,2026,,"Jul 17, 2025",Real Salt Lake
,D. LunaLMCAM,20,71,84,CAM(8)2022 ~ 2029,€4.5M,€5K,1818,,"Jul 17, 2025",Real Salt Lake
,A. PiolST,19,58,72,ST(23)2025 ~ 2027,€475K,€4K,1512,,"Jul 17, 2025",Real Salt Lake
,J. RussellRWRM,34,71,71,SUB(77)2025 ~ 2025,€875K,€8K,1981,,"Jul 17, 2025",Real Salt Lake
,P. RuizCDMCM,25,70,74,SUB(7)2018 ~ 2025,€2M,€6K,1845,,"Jul 17, 2025",Real Salt Lake
,N. PalacioCMCDM,23,69,76,SUB(13)2023 ~ 2026,€2.8M,€6K,1846,,"Jul 17, 2025",Real Salt Lake
,T. WolffLMLWCM,21,67,77,SUB(16)2024 ~ 2026,€2.3M,€5K,1635,,"Jul 17, 2025",Real Salt Lake
,L. BrookRM,23,66,71,SUB(17)2024 ~ 2025,€1.3M,€5K,1632,,"Jul 17, 2025",Real Salt Lake
,B. HidalgoRBCB,22,62,71,SUB(19)2021 ~ 2028,€850K,€5K,1539,,"Jul 17, 2025",Real Salt Lake
,Z. MacMathGK,32,65,65,SUB(18)2019 ~ 2028,€350K,€4K,1086,,"Jul 17, 2025",Real Salt Lake
,S. JunquaCBLBLM,27,64,64,SUB(29)2024 ~ 2025,€550K,€6K,1613,,"Jul 17, 2025",Real Salt Lake
,W. AgadaSTLW,24,66,71,SUB(9)2025 ~ 2025,€1.3M,€6K,1590,,"Jul 17, 2025",Real Salt Lake
,P. QuintonCBRB,24,60,65,SUB(26)2024 ~ 2029,€325K,€5K,1281,,"Jul 17, 2025",Real Salt Lake
,M. StajduharGK,26,58,61,SUB(31)2025 ~ 2025,€210K,€3K,946,,"Jul 17, 2025",Real Salt Lake
,M. BellST,21,51,60,SUB(12)2023 ~ 2027,€130K,€4K,1239,,"Jul 17, 2025",Real Salt Lake
,K. HenryCB,20,59,67,"RES(3)Dec 31, 2025On loan",€450K,€9K,1402,,"Jul 17, 2025",Real Salt Lake
