,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,S. FreiGK,38,72,72,GK(24)2013 ~ 2025,€250K,€3K,1181,,"Jul 17, 2025",Seattle Sounders FC
,Y. Gómez AndradeCB,32,75,75,RCB(28)2020 ~ 2025,€3.6M,€9K,1629,,"Jul 17, 2025",Seattle Sounders FC
,J. RagenCB,25,70,73,CB(25)2022 ~ 2027,€1.9M,€6K,1500,,"Jul 17, 2025",Seattle Sounders FC
,NouhouLBCB,27,72,72,LCB(5)2017 ~ 2025,€2.3M,€7K,1738,,"Jul 17, 2025",Seattle Sounders FC
,K. Kossa-RienziRBRM,22,54,62,RM(85)2023 ~ 2025,€230K,€4K,1315,,"Jul 17, 2025",Seattle Sounders FC
,C. RoldanCDMRMCM,29,74,74,RCM(7)2015 ~ 2027,€3.6M,€8K,2060,,"Jul 17, 2025",Seattle Sounders FC
,O. VargasCMCDMRM,18,68,83,LCM(18)2021 ~ 2025,€2.8M,€4K,1765,,"Jul 17, 2025",Seattle Sounders FC
,P. RothrockLMRMLW,25,63,64,LM(14)2023 ~ 2025,€575K,€6K,1601,,"Jul 17, 2025",Seattle Sounders FC
,A. RusnákCAMCDMCM,29,74,74,RAM(11)2022 ~ 2027,€4.1M,€9K,1955,,"Jul 17, 2025",Seattle Sounders FC
,P. De la VegaRWLWRM,23,73,79,LAM(10)2024 ~ 2027,€4.8M,€7K,1980,,"Jul 17, 2025",Seattle Sounders FC
,J. FerreiraSTCAM,23,72,76,ST(9)2025 ~ 2027,€3.4M,€7K,1927,,"Jul 17, 2025",Seattle Sounders FC
,D. MusovskiST,28,63,63,SUB(19)2024 ~ 2025,€500K,€6K,1567,,"Jul 17, 2025",Seattle Sounders FC
,P. ArriolaRMRWLW,29,69,69,SUB(17)2025 ~ 2027,€1.4M,€7K,1933,,"Jul 17, 2025",Seattle Sounders FC
,G. MinoungouRMRWLW,21,58,68,SUB(93)2024 ~ 2028,€450K,€4K,1369,,"Jul 17, 2025",Seattle Sounders FC
,A. RoldanRBRM,27,70,70,SUB(16)2020 ~ 2026,€1.5M,€6K,1851,,"Jul 17, 2025",Seattle Sounders FC
,Kim Kee HeeCB,34,68,68,SUB(20)2025 ~ 2025,€400K,€6K,1674,,"Jul 17, 2025",Seattle Sounders FC
,R. Baker-WhitingLBRBLM,19,60,77,SUB(21)2021 ~ 2025,€600K,€3K,1621,,"Jul 17, 2025",Seattle Sounders FC
,A. ThomasGK,25,61,66,SUB(26)2021 ~ 2025,€375K,€3K,972,,"Jul 17, 2025",Seattle Sounders FC
,D. LeyvaCMCDM,21,64,73,SUB(75)2019 ~ 2026,€1.3M,€4K,1654,,"Jul 17, 2025",Seattle Sounders FC
,J. MorrisSTLMLW,29,73,73,SUB(13)2016 ~ 2027,€3M,€9K,1833,,"Jul 17, 2025",Seattle Sounders FC
,João PauloCDMCM,33,73,73,SUB(6)2020 ~ 2025,€1.5M,€8K,1965,,"Jul 17, 2025",Seattle Sounders FC
,R. KentLWRW,27,75,75,SUB(77)2025 ~ 2025,€6M,€9K,1934,,"Jul 17, 2025",Seattle Sounders FC
,C. BakerRBLB,20,58,69,SUB(33)2023 ~ 2026,€425K,€4K,1395,,"Jul 17, 2025",Seattle Sounders FC
,J. CastroGK,24,55,61,RES(29)2022 ~ 2025,€160K,€2K,947,,"Jul 17, 2025",Seattle Sounders FC
,S. HawkinsCB,17,53,76,RES(39)2023 ~ 2026,€275K,€2K,1220,,"Jul 17, 2025",Seattle Sounders FC
,T. SousaLBLM,22,54,63,RES(3)2024 ~ 2025,€230K,€4K,1348,,"Jul 17, 2025",Seattle Sounders FC
,J. BellCBLB,26,64,64,RES(15)2024 ~ 2025,€550K,€6K,1417,,"Jul 17, 2025",Seattle Sounders FC
,L. BurneyCB,22,55,65,RES(4)2024 ~ 2025,€275K,€4K,1221,,"Jul 17, 2025",Seattle Sounders FC
