,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,J. PulskampGK,23,64,69,GK(1)2020 ~ 2025,€700K,€3K,947,,"Jul 17, 2025",Sporting Kansas City
,K. SheltonSTRBRW,31,63,63,RB(11)2020 ~ 2025,€400K,€6K,1628,,"Jul 17, 2025",Sporting Kansas City
,J. MillerCB,22,54,62,RCB(15)2025 ~ 2025,€230K,€4K,1207,,"Jul 17, 2025",Sporting Kansas City
,JoaquínCBCDM,28,74,75,LCB(24)2024 ~ 2025,€4M,€8K,1734,,"Jul 17, 2025",Sporting Kansas City
,L. NdenbeLB,24,65,69,LB(18)2022 ~ 2025,€950K,€5K,1653,,"Jul 17, 2025",Sporting Kansas City
,J. DavisRBCDMCM,22,67,73,RCM(17)2021 ~ 2027,€1.5M,€5K,1685,,"Jul 17, 2025",Sporting Kansas City
,N. RadojaCDMCM,31,72,72,LCM(6)2023 ~ 2025,€1.6M,€7K,1841,,"Jul 17, 2025",Sporting Kansas City
,J. BartlettCDM,18,54,69,CAM(16)2025 ~ 2027,€240K,€3K,1485,,"Jul 17, 2025",Sporting Kansas City
,M. SuleymanovRMCAM,24,69,72,RW(93)2025 ~ 2026,€1.9M,€6K,1730,,"Jul 17, 2025",Sporting Kansas City
,D. JoveljićST,24,75,78,ST(9)2025 ~ 2027,€8M,€9K,1812,,"Jul 17, 2025",Sporting Kansas City
,D. SallóiLWLM,27,71,71,LW(10)2016 ~ 2026,€2M,€8K,1837,,"Jul 17, 2025",Sporting Kansas City
,M. ToyeST,25,65,66,SUB(13)2025 ~ 2025,€875K,€6K,1558,,"Jul 17, 2025",Sporting Kansas City
,E. ThommyCAMRWCM,29,73,73,SUB(26)2022 ~ 2025,€3M,€8K,1890,,"Jul 17, 2025",Sporting Kansas City
,T. LeiboldLBLM,30,70,70,SUB(14)2023 ~ 2025,€1.4M,€7K,1940,,"Jul 17, 2025",Sporting Kansas City
,A. BrodyRBLB,29,68,68,SUB(3)2025 ~ 2025,€1.1M,€6K,1691,,"Jul 17, 2025",Sporting Kansas City
,Z. BassongLBCBCM,25,63,66,SUB(22)2024 ~ 2025,€575K,€5K,1618,,"Jul 17, 2025",Sporting Kansas City
,R. VoloderCBLB,23,61,66,SUB(4)2022 ~ 2025,€450K,€5K,1394,,"Jul 17, 2025",Sporting Kansas City
,R. ScheweGK,22,52,58,SUB(36)2023 ~ 2025,€100K,€2K,853,,"Jul 17, 2025",Sporting Kansas City
,D. RoseroCB,30,69,69,SUB(5)2023 ~ 2025,€1.1M,€6K,1674,,"Jul 17, 2025",Sporting Kansas City
,S. AfrifaLWSTRW,23,59,65,SUB(30)2023 ~ 2025,€350K,€5K,1426,,"Jul 17, 2025",Sporting Kansas City
,M. RodríguezLMCMRM,28,66,66,SUB(8)2024 ~ 2025,€850K,€6K,1734,,"Jul 17, 2025",Sporting Kansas City
