,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,R. BürkiGK,33,77,77,GK(1)2022 ~ 2025,€3.4M,€7K,1242,,"Jul 17, 2025",St. Louis CITY SC
,J. YaroCB,30,64,64,RCB(15)2023 ~ 2027,€475K,€6K,1592,,"Jul 17, 2025",St. Louis CITY SC
,H. KesslerCB,26,69,74,CB(5)2024 ~ 2025,€1.8M,€6K,1528,,"Jul 17, 2025",St. Louis CITY SC
,K. HiebertCBLB,26,67,70,LCB(22)2023 ~ 2026,€1.2M,€6K,1479,,"Jul 17, 2025",St. Louis CITY SC
,T. TotlandRBLBRM,25,64,67,RM(14)2024 ~ 2026,€725K,€5K,1571,,"Jul 17, 2025",St. Louis CITY SC
,A. MoralesCDMCMCB,34,67,67,RCM(27)2025 ~ 2025,€350K,€6K,1827,,"Jul 17, 2025",St. Louis CITY SC
,C. DurkinCMCDMRM,24,66,71,LCM(8)2023 ~ 2027,€1.3M,€5K,1781,,"Jul 17, 2025",St. Louis CITY SC
,C. WallemLMCAM,24,71,75,"LM(6)Dec 31, 2025On loan",€2.7M,€18K,1891,,"Jul 17, 2025",St. Louis CITY SC
,M. HartelCMCAM,28,75,75,RAM(17)2024 ~ 2028,€5.5M,€9K,1906,,"Jul 17, 2025",St. Louis CITY SC
,C. TeuchertSTCAM,27,71,71,LAM(36)2024 ~ 2026,€2M,€8K,1781,,"Jul 17, 2025",St. Louis CITY SC
,KlaussST,27,73,73,ST(9)2022 ~ 2025,€3.3M,€8K,1806,,"Jul 17, 2025",St. Louis CITY SC
,Xande SilvaLWST,27,68,68,SUB(45)2025 ~ 2025,€1.3M,€7K,1701,,"Jul 17, 2025",St. Louis CITY SC
,E. LöwenCMCDMCAM,27,74,74,SUB(10)2022 ~ 2026,€4.5M,€8K,2045,,"Jul 17, 2025",St. Louis CITY SC
,R. AlmRMRWLW,28,69,69,SUB(21)2023 ~ 2025,€1.4M,€7K,1732,,"Jul 17, 2025",St. Louis CITY SC
,T. OstrákRMLMCAM,24,66,69,SUB(7)2022 ~ 2025,€1.2M,€5K,1719,,"Jul 17, 2025",St. Louis CITY SC
,Célio PompeuLMLWRW,24,65,68,SUB(12)2023 ~ 2026,€975K,€5K,1573,,"Jul 17, 2025",St. Louis CITY SC
,T. BaumgartlCB,28,68,68,SUB(32)2025 ~ 2026,€1M,€6K,1549,,"Jul 17, 2025",St. Louis CITY SC
,B. LundtGK,28,58,60,SUB(39)2023 ~ 2025,€170K,€3K,1099,,"Jul 17, 2025",St. Louis CITY SC
,S. BecherST,24,60,65,SUB(11)2024 ~ 2027,€375K,€5K,1444,,"Jul 17, 2025",St. Louis CITY SC
,A. WattsRBCDM,24,62,67,SUB(20)2023 ~ 2029,€550K,€5K,1637,,"Jul 17, 2025",St. Louis CITY SC
,J. Girdwood-ReichCBCDM,20,63,74,SUB(3)2024 ~ 2027,€975K,€4K,1602,,"Jul 17, 2025",St. Louis CITY SC
,J. NilssonCB,30,72,72,SUB(4)2022 ~ 2026,€1.9M,€7K,1574,,"Jul 17, 2025",St. Louis CITY SC
,J. HornCBLB,27,68,69,"SUB(38)Jun 30, 2025On loan",€1.2M,€9K,1682,,"Jul 17, 2025",St. Louis CITY SC
,M. PerezCDMCM,19,59,76,RES(28)2023 ~ 2025,€550K,€3K,1605,,"Jul 17, 2025",St. Louis CITY SC
,J. ReidLBLM,22,58,67,RES(99)2024 ~ 2029,€425K,€5K,1495,,"Jul 17, 2025",St. Louis CITY SC
,C. GloverST,17,51,73,RES(46)2023 ~ 2027,€180K,€3K,1220,,"Jul 17, 2025",St. Louis CITY SC
,M. WentzelCB,22,50,57,RES(13)2023 ~ 2027,€90K,€4K,1276,,"Jul 17, 2025",St. Louis CITY SC
,M. JoynerLM,17,54,71,RES(59)2025 ~ 2028,€275K,€3K,1364,,"Jul 17, 2025",St. Louis CITY SC
,J. ZalinskyRB,21,58,65,RES(71)2025 ~ 2027,€400K,€4K,1483,,"Jul 17, 2025",St. Louis CITY SC
