,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,S. JohnsonGK,35,68,68,GK(1)2023 ~ 2025,€130K,€2K,1184,,"Jul 17, 2025",Toronto FC
,K. ThompsonRBCM,21,61,68,RB(6)2022 ~ 2029,€625K,€4K,1659,,"Jul 17, 2025",Toronto FC
,K. LongCB,33,69,69,RCB(5)2024 ~ 2027,€675K,€6K,1515,,"Jul 17, 2025",Toronto FC
,S. RostedCB,29,64,64,LCB(17)2023 ~ 2025,€500K,€6K,1545,,"Jul 17, 2025",Toronto FC
,R. PetrettaLBCBLM,27,67,67,LB(28)2023 ~ 2025,€975K,€6K,1736,,"Jul 17, 2025",Toronto FC
,D. FloresCDMCM,28,66,66,RDM(20)2024 ~ 2025,€750K,€6K,1758,,"Jul 17, 2025",Toronto FC
,J. OsorioCMCAM,32,71,71,LDM(21)2013 ~ 2025,€1.5M,€8K,1878,,"Jul 17, 2025",Toronto FC
,F. BernardeschiRMRWCAM,30,77,77,RM(10)2022 ~ 2026,€10M,€10K,2058,,"Jul 17, 2025",Toronto FC
,T. CorbeanuRMLMRW,22,69,75,"LM(7)Dec 31, 2025On loan",€2.2M,€6K,1752,,"Jul 17, 2025",Toronto FC
,L. InsigneLWCAMST,33,76,76,CAM(24)2022 ~ 2026,€4.7M,€10K,1882,,"Jul 17, 2025",Toronto FC
,D. Etienne Jr.LMST,27,67,67,ST(11)2024 ~ 2029,€1.1M,€6K,1711,,"Jul 17, 2025",Toronto FC
,D. KerrSTRMCM,21,61,68,SUB(29)2022 ~ 2029,€675K,€5K,1661,,"Jul 17, 2025",Toronto FC
,M. DominguezCMRMCAM,28,71,71,SUB(23)2025 ~ 2028,€1.9M,€8K,1928,,"Jul 17, 2025",Toronto FC
,M. LongstaffCMCDMCAM,24,66,69,SUB(8)2024 ~ 2025,€1.2M,€5K,1802,,"Jul 17, 2025",Toronto FC
,T. SpicerLMRM,23,63,69,SUB(16)2023 ~ 2027,€750K,€5K,1524,,"Jul 17, 2025",Toronto FC
,R. LaryeaRBRMLB,29,71,71,SUB(22)2024 ~ 2026,€1.6M,€7K,1905,,"Jul 17, 2025",Toronto FC
,K. FranklinRBRM,21,63,70,SUB(19)2022 ~ 2029,€925K,€4K,1525,,"Jul 17, 2025",Toronto FC
,L. GavranGK,24,64,68,SUB(90)2023 ~ 2027,€675K,€3K,926,,"Jul 17, 2025",Toronto FC
,N. GomisCB,22,62,69,SUB(15)2024 ~ 2025,€750K,€5K,1406,,"Jul 17, 2025",Toronto FC
,H. WingoCBRB,28,66,66,SUB(2)2024 ~ 2026,€725K,€6K,1781,,"Jul 17, 2025",Toronto FC
,Alonso CoelloCMCAM,24,64,69,SUB(14)2022 ~ 2027,€875K,€5K,1610,,"Jul 17, 2025",Toronto FC
,L. StefanovićCB,17,55,78,SUB(76)2025 ~ 2028,€375K,€2K,1262,,"Jul 17, 2025",Toronto FC
,C. SharpST,23,53,58,SUB(38)2024 ~ 2025,€140K,€5K,1243,,"Jul 17, 2025",Toronto FC
,N. EdwardsRMLM,21,54,62,RES(25)2024 ~ 2025,€240K,€4K,1499,,"Jul 17, 2025",Toronto FC
