,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,,date,team
,Y. TakaokaGK,28,72,72,GK(1)2023 ~ 2027,€1.7M,€5K,1043,,"Jul 17, 2025",Vancouver Whitecaps FC
,M. LabordaCBRB,24,70,73,RB(2)2023 ~ 2025,€1.9M,€6K,1714,,"Jul 17, 2025",Vancouver Whitecaps FC
,R. VeselinovićCB,25,71,74,RCB(4)2020 ~ 2026,€2.2M,€7K,1551,,"Jul 17, 2025",Vancouver Whitecaps FC
,T. BlackmonCB,27,69,70,LCB(33)2022 ~ 2027,€1.4M,€6K,1789,,"Jul 17, 2025",Vancouver Whitecaps FC
,T. JohnsonLB,18,59,69,LB(28)2025 ~ 2025,€450K,€3K,1524,,"Jul 17, 2025",Vancouver Whitecaps FC
,A. CubasCDMCM,28,74,74,CDM(20)2022 ~ 2026,€3.7M,€8K,1834,,"Jul 17, 2025",Vancouver Whitecaps FC
,P. ViteCMCAM,22,70,75,RCM(45)2021 ~ 2025,€2.4M,€6K,1808,,"Jul 17, 2025",Vancouver Whitecaps FC
,S. BerhalterCMCDM,23,65,70,LCM(16)2022 ~ 2025,€1.1M,€5K,1754,,"Jul 17, 2025",Vancouver Whitecaps FC
,J. NelsonLWRW,21,68,75,RW(7)2025 ~ 2028,€2.5M,€5K,1745,,"Jul 17, 2025",Vancouver Whitecaps FC
,B. WhiteST,28,74,74,ST(24)2021 ~ 2025,€4.3M,€9K,1799,,"Jul 17, 2025",Vancouver Whitecaps FC
,R. GauldLWSTRW,28,78,78,LW(25)2021 ~ 2027,€14M,€12K,2013,,"Jul 17, 2025",Vancouver Whitecaps FC
,D. KreilachSTCAM,35,69,69,SUB(19)2024 ~ 2025,€600K,€6K,1868,,"Jul 17, 2025",Vancouver Whitecaps FC
,A. AhmedCMRMLM,23,67,74,SUB(22)2022 ~ 2025,€2M,€5K,1813,,"Jul 17, 2025",Vancouver Whitecaps FC
,J.C. NgandoCDMCM,24,62,66,SUB(26)2023 ~ 2025,€525K,€5K,1716,,"Jul 17, 2025",Vancouver Whitecaps FC
,R. PrisoCDMCM,21,60,67,SUB(13)2024 ~ 2025,€475K,€4K,1543,,"Jul 17, 2025",Vancouver Whitecaps FC
,S. AdekugbeLBLM,29,68,68,SUB(3)2023 ~ 2029,€1.1M,€6K,1786,,"Jul 17, 2025",Vancouver Whitecaps FC
,B. UtvikCB,28,66,67,SUB(15)2024 ~ 2025,€800K,€6K,1554,,"Jul 17, 2025",Vancouver Whitecaps FC
,I. BoehmerGK,22,60,67,SUB(32)2022 ~ 2028,€425K,€2K,924,,"Jul 17, 2025",Vancouver Whitecaps FC
,E. OcampoRBRM,20,68,78,SUB(18)2024 ~ 2027,€2.5M,€4K,1741,,"Jul 17, 2025",Vancouver Whitecaps FC
,D. RíosST,29,65,65,SUB(14)2023 ~ 2027,€725K,€7K,1499,,"Jul 17, 2025",Vancouver Whitecaps FC
,B. HalbouniCB,24,64,66,SUB(12)2024 ~ 2025,€675K,€5K,1485,,"Jul 17, 2025",Vancouver Whitecaps FC
,G. BovalinaRB,19,61,75,SUB(27)2024 ~ 2026,€750K,€4K,1692,,"Jul 17, 2025",Vancouver Whitecaps FC
,A. ZendejasGK,28,62,64,SUB(30)2025 ~ 2025,€350K,€4K,1052,,"Jul 17, 2025",Vancouver Whitecaps FC
,J. BadwalCM,18,49,67,RES(59)2024 ~ 2027,€120K,€3K,1354,,"Jul 17, 2025",Vancouver Whitecaps FC
