,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Inter MiamiMajor League Soccer,112893,5-3-2,74,81,75,71,€330M,30,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,71,72,70,70,€266M,27,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,71,74,70,70,€427.5M,21,
,FC CincinnatiMajor League Soccer,113149,3-4-1-2,70,69,72,69,€226.5M,29,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,69,73,68,69,€364.5M,24,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,69,68,72,69,€220.5M,28,
,Nashville SCMajor League Soccer,114162,4-4-1-1 Midfield,69,67,69,71,€210M,23,
,Vancouver Whitecaps FCMajor League Soccer,101112,3-4-1-2,69,74,69,68,€193.5M,24,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,68,69,69,66,€250M,21,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,68,69,70,67,€351M,22,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,68,67,68,67,€240M,24,
,St. Louis CITY SCMajor League Soccer,113018,4-2-3-1 Wide,68,74,68,67,€185M,24,
,Columbus CrewMajor League Soccer,687,3-4-2-1,68,72,67,67,€185M,23,
,DC UnitedMajor League Soccer,688,3-4-2-1,68,72,67,68,€277M,23,
,New York Red BullsMajor League Soccer,689,4-4-2 Holding,68,73,68,67,€261M,24,
,FC DallasMajor League Soccer,695,4-1-4-1,68,72,69,64,€178M,30,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,68,70,69,67,€292.5M,29,
,LA GalaxyMajor League Soccer,697,4-4-1-1 Midfield,68,68,70,66,€432M,22,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,68,68,69,66,€248M,24,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,68,62,69,65,€326.5M,20,
,Charlotte FCMajor League Soccer,114640,4-4-1-1 Midfield,68,73,70,67,€190M,27,
,Real Salt LakeMajor League Soccer,111065,4-4-2 Flat,68,70,70,67,€211.5M,27,
,Atlanta UnitedMajor League Soccer,112885,4-2-3-1 Wide,68,72,69,64,€40M,24,
,Toronto FCMajor League Soccer,111651,4-3-3 Defend,67,70,68,64,€350M,23,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,67,67,68,67,€285.5M,25,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,67,68,70,65,€275.5M,25,
,Austin FCMajor League Soccer,114161,4-2-3-1 Wide,67,69,68,66,€200M,20,
,CF MontréalMajor League Soccer,111139,3-4-1-2,66,67,67,66,€199M,24,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,66,65,64,66,€179M,26,
