,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Seattle Sounders FCMajor League Soccer,111144,4-1-3-2,68,72,69,63,€0,26,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,67,64,65,67,€0,24,
,Toronto FCMajor League Soccer,111651,4-1-4-1,67,68,66,65,€0,28,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,67,65,66,66,€0,28,
,DC UnitedMajor League Soccer,688,4-4-2 Flat,67,67,65,65,€0,27,
,Sporting Kansas CityMajor League Soccer,696,4-1-4-1,67,69,68,65,€0,26,
,LA GalaxyMajor League Soccer,697,4-4-2 Flat,67,71,65,65,€0,24,
,Real Salt LakeMajor League Soccer,111065,4-1-2-1-2 Narrow,67,67,67,61,€0,27,
,CF MontréalMajor League Soccer,111139,4-2-3-1 Wide,66,68,67,61,€0,29,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,66,65,69,64,€0,26,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,66,66,67,66,€0,21,
,Houston DynamoMajor League Soccer,698,4-4-2 Flat,66,67,68,64,€0,22,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-2-3-1 Wide,66,67,67,61,€0,25,
,San Jose EarthquakesMajor League Soccer,111928,4-1-3-2,65,66,66,66,€0,26,
,Chicago FireMajor League Soccer,693,4-4-1-1 Attack,65,66,62,62,€0,27,
,Colorado RapidsMajor League Soccer,694,4-4-2 Flat,65,65,65,64,€0,24,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,65,64,65,63,€0,25,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,64,67,65,61,€0,22,
,Chivas USAMajor League Soccer,111070,4-4-2 Flat,63,63,63,62,€0,18,
