,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Toronto FCMajor League Soccer,111651,4-1-2-1-2 Narrow,68,70,67,66,€0,29,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,68,74,68,64,€0,29,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,68,73,68,66,€0,27,
,CF MontréalMajor League Soccer,111139,4-2-3-1 Wide,67,66,68,65,€0,29,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,67,66,68,66,€0,27,
,DC UnitedMajor League Soccer,688,4-4-1-1 Attack,67,68,66,65,€0,28,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,67,68,67,65,€0,24,
,Sporting Kansas CityMajor League Soccer,696,4-1-4-1,67,70,67,67,€0,24,
,LA GalaxyMajor League Soccer,697,4-4-2 Flat,67,71,67,66,€0,28,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,67,69,67,63,€0,27,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-2-3-1 Wide,67,68,67,64,€0,30,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,66,67,66,66,€0,28,
,San Jose EarthquakesMajor League Soccer,111928,4-1-4-1,66,66,64,66,€0,26,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,66,65,67,61,€0,28,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,66,65,66,65,€0,25,
,Houston DynamoMajor League Soccer,698,4-4-1-1 Attack,66,69,65,65,€0,25,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,66,63,68,65,€0,28,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,65,58,66,65,€0,28,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,65,69,64,64,€0,23,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,65,72,65,61,€0,28,
,Chivas USAMajor League Soccer,111070,4-4-2 Flat,62,61,62,62,€0,13,
