,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Toronto FCMajor League Soccer,111651,4-3-1-2,68,67,71,66,€0,30,
,Seattle Sounders FCMajor League Soccer,111144,4-4-2 Flat,68,72,67,66,€0,29,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,67,66,68,66,€0,28,
,CF MontréalMajor League Soccer,111139,4-2-3-1 Narrow,67,68,66,66,€0,29,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,67,65,68,65,€0,27,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,67,70,66,68,€0,28,
,Sporting Kansas CityMajor League Soccer,696,4-1-4-1,67,70,67,64,€0,27,
,LA GalaxyMajor League Soccer,697,4-4-2 Flat,67,71,67,66,€0,29,
,Real Salt LakeMajor League Soccer,111065,4-1-4-1,67,68,64,66,€0,27,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,66,68,63,64,€0,26,
,DC UnitedMajor League Soccer,688,4-4-2 Flat,66,67,65,65,€0,27,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,66,67,67,65,€0,26,
,Chicago FireMajor League Soccer,693,4-1-4-1,66,68,61,64,€0,25,
,Houston DynamoMajor League Soccer,698,4-4-2 Flat,66,67,64,66,€0,25,
,New York City FCMajor League Soccer,112828,4-4-2 Flat,66,73,65,64,€0,27,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,66,65,66,64,€0,30,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-2-3-1 Wide,66,67,65,61,€0,28,
,New York Red BullsMajor League Soccer,689,4-1-4-1,65,69,65,64,€0,28,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,65,54,66,61,€0,25,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,65,66,66,63,€0,25,
,Chivas USAMajor League Soccer,111070,4-4-2 Flat,62,61,62,62,€0,13,
