,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Toronto FCMajor League Soccer,111651,3-1-4-2,70,75,70,69,€200M,28,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,70,74,73,68,€152M,27,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,70,70,73,70,€195M,25,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,70,75,71,69,€138M,30,
,FC DallasMajor League Soccer,695,4-4-2 Flat,70,70,71,70,€128M,26,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Flat,70,70,71,70,€151M,26,
,LA GalaxyMajor League Soccer,697,4-2-3-1 Wide,70,73,71,69,€218.5M,27,
,New York City FCMajor League Soccer,112828,4-3-3 Flat,70,71,73,68,€207M,26,
,Orlando City SCMajor League Soccer,112606,4-4-2 Holding,70,70,72,69,€172M,30,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,69,68,69,67,€150M,30,
,CF MontréalMajor League Soccer,111139,4-2-3-1 Wide,69,71,70,70,€156M,28,
,New York Red BullsMajor League Soccer,689,4-2-2-2,69,71,70,67,€183M,30,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,69,73,70,66,€145M,28,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-2-3-1 Wide,69,76,68,68,€142M,29,
,San Jose EarthquakesMajor League Soccer,111928,4-4-2 Flat,68,68,69,68,€135M,28,
,DC UnitedMajor League Soccer,688,4-1-4-1,68,68,68,68,€132M,29,
,New England RevolutionMajor League Soccer,691,4-1-2-1-2 Narrow,68,72,68,68,€140M,24,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,68,65,68,68,€155M,26,
,Houston DynamoMajor League Soccer,698,4-3-3 Flat,68,70,69,68,€148M,27,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,68,70,67,64,€149M,28,
