,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Inter MiamiMajor League Soccer,112893,5-3-2,74,78,72,72,€330M,30,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,72,75,70,72,€427.5M,30,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,71,72,70,70,€266M,25,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,70,75,70,67,€250M,30,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,70,69,71,67,€351M,30,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,70,70,73,69,€364.5M,29,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,70,69,71,69,€240M,30,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,70,71,71,69,€220.5M,30,
,LA GalaxyMajor League Soccer,697,4-4-1-1 Midfield,70,70,69,67,€432M,30,
,FC CincinnatiMajor League Soccer,113149,3-4-1-2,70,70,72,67,€226.5M,28,
,DC UnitedMajor League Soccer,688,4-3-1-2,69,68,68,67,€277M,30,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,69,73,71,65,€178M,30,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,69,72,70,66,€292.5M,30,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,69,62,69,66,€326.5M,27,
,Real Salt LakeMajor League Soccer,111065,4-4-2 Flat,69,72,69,67,€211.5M,30,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,69,67,71,65,€275.5M,30,
,Nashville SCMajor League Soccer,114162,4-4-1-1 Midfield,69,68,70,71,€210M,28,
,Atlanta UnitedMajor League Soccer,112885,4-2-3-1 Wide,69,74,69,68,€40M,28,
,Vancouver Whitecaps FCMajor League Soccer,101112,3-1-4-2,69,73,68,68,€193.5M,27,
,Toronto FCMajor League Soccer,111651,5-3-2,68,73,66,64,€350M,26,
,St. Louis CITY SCMajor League Soccer,113018,4-2-3-1 Wide,68,71,68,68,€185M,29,
,Columbus CrewMajor League Soccer,687,3-4-2-1,68,71,69,66,€185M,27,
,New York Red BullsMajor League Soccer,689,4-4-2 Holding,68,65,67,69,€261M,30,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,68,67,69,65,€285.5M,30,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,68,66,68,66,€248M,28,
,Charlotte FCMajor League Soccer,114640,4-1-4-1,68,73,69,65,€190M,30,
,Austin FCMajor League Soccer,114161,4-2-3-1 Wide,68,68,69,67,€200M,29,
,CF MontréalMajor League Soccer,111139,3-4-1-2,67,71,67,66,€199M,27,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,67,68,63,67,€179M,30,
