,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,71,73,71,70,€351M,27,
,Seattle Sounders FCMajor League Soccer,111144,5-3-2,71,72,71,68,€364.5M,28,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,71,71,71,69,€180M,30,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,71,70,72,69,€265.5M,30,
,Inter MiamiMajor League Soccer,112893,4-2-3-1 Wide,71,80,71,68,€330M,29,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,70,70,69,69,€216M,30,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,70,69,72,69,€270M,27,
,DC UnitedMajor League Soccer,688,3-4-2-1,70,71,69,69,€297M,30,
,New England RevolutionMajor League Soccer,691,4-1-2-1-2 Narrow,70,75,70,68,€220.5M,27,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,70,71,69,69,€292.5M,29,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,70,71,70,71,€346.5M,27,
,Atlanta UnitedMajor League Soccer,112885,5-3-2,70,74,70,69,€450M,30,
,Toronto FCMajor League Soccer,111651,4-2-3-1 Wide,69,74,70,68,€355.5M,30,
,Los Angeles FCMajor League Soccer,112996,3-4-1-2,69,74,69,66,€427.5M,30,
,Colorado RapidsMajor League Soccer,694,3-4-2-1,69,69,71,68,€171M,30,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,69,69,70,68,€178M,27,
,LA GalaxyMajor League Soccer,697,4-2-3-1 Wide,69,74,70,67,€432M,30,
,Nashville SCMajor League Soccer,114162,5-2-1-2,69,70,69,66,€180M,28,
,Vancouver Whitecaps FCMajor League Soccer,101112,3-4-1-2,69,69,69,66,€193.5M,29,
,CF MontréalMajor League Soccer,111139,5-2-1-2,68,69,70,66,€189M,29,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,68,67,70,68,€247.5M,26,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,68,69,66,68,€261M,26,
,Chicago FireMajor League Soccer,693,3-1-4-2,68,69,69,67,€301.5M,27,
,Houston DynamoMajor League Soccer,698,5-2-1-2,68,68,70,65,€252M,30,
,Real Salt LakeMajor League Soccer,111065,3-4-1-2,68,72,68,65,€211.5M,30,
,Austin FCMajor League Soccer,114161,4-2-3-1 Wide,68,68,73,65,€150M,29,
,FC CincinnatiMajor League Soccer,113149,4-2-3-1 Wide,67,71,67,67,€226.5M,30,
